artist_id,common_name,wiki_url,language_count
132,Nick Lowe,https://en.wikipedia.org/wiki/Nick_Lowe,14.0
133,Cheap Trick,,
134,Jimi Hendrix,https://en.wikipedia.org/wiki/Jimi_Hendrix,109.0
136,Vaya Con Dios,,
137,Baccara,,
138,Charlie Parker,https://en.wikipedia.org/wiki/Charlie_Parker,68.0
139,Shirley Bassey,https://en.wikipedia.org/wiki/Shirley_Bassey,47.0
140,Michel Fugain,https://en.wikipedia.org/wiki/Michel_Fugain,12.0
141,Noordkaap,,
142,Ben E. King,https://en.wikipedia.org/wiki/Ben_E._King,47.0
143,John Lennon,,
144,Sezen Aksu,https://en.wikipedia.org/wiki/Sezen_Aksu,49.0
145,Loona,,
146,Birth Control,https://en.wikipedia.org/wiki/Birth_Control_(band),8.0
147,Brenda Lee,,
148,Willie Nelson,https://en.wikipedia.org/wiki/Willie_Nelson,59.0
150,Leonard Cohen,https://en.wikipedia.org/wiki/Leonard_Cohen,108.0
152,Alice Cooper,https://en.wikipedia.org/wiki/Alice_Cooper_(band),8.0
153,Pet Shop Boys,https://en.wikipedia.org/wiki/Pet_Shop_Boys,55.0
155,Neil Diamond,https://en.wikipedia.org/wiki/Neil_Diamond,56.0
156,Smash Mouth,https://en.wikipedia.org/wiki/Smash_Mouth,25.0
158,Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan,142.0
159,Gabrielle,,
160,Bobby McFerrin,https://en.wikipedia.org/wiki/Bobby_McFerrin,42.0
162,Bryan Adams,https://en.wikipedia.org/wiki/Bryan_Adams,78.0
165,Roxy Music,,
166,Then Jerico,,
167,Peter Frampton,https://en.wikipedia.org/wiki/Peter_Frampton,33.0
168,Big Mountain,,
169,Nirvana,https://en.wikipedia.org/wiki/Nirvana_(band),105.0
170,Cibo matto,,
171,Muse,https://en.wikipedia.org/wiki/Muse_(band),74.0
172,Grace Jones,https://en.wikipedia.org/wiki/Grace_Jones,47.0
173,Blonde Ambition,,
174,The Walker Brothers,,
175,Russell Hitchcock,,
176,Dusty Springfield,https://en.wikipedia.org/wiki/Dusty_Springfield,46.0
177,Carol Douglas,,
178,Big Country,,
179,EMF,,
181,Gene Pitney,https://en.wikipedia.org/wiki/Gene_Pitney,22.0
182,Thin White Rope,,
183,Killdozer,,
185,Sugar Ray,https://en.wikipedia.org/wiki/Sugar_Ray,13.0
187,Gary Moore,https://en.wikipedia.org/wiki/Gary_Moore,56.0
188,Inga Rumpf,,
190,Chris Isaak,https://en.wikipedia.org/wiki/Chris_Isaak,37.0
191,Scorpions,https://en.wikipedia.org/wiki/Scorpions_(band),72.0
192,Helloween,https://en.wikipedia.org/wiki/Helloween,52.0
193,Jethro Tull,https://en.wikipedia.org/wiki/Jethro_Tull_(band),52.0
194,David Bowie,,
195,Faith No More,,
196,Focus,https://en.wikipedia.org/wiki/Focus_(band),26.0
198,Frank Marino,https://en.wikipedia.org/wiki/Frank_Marino,15.0
199,Cream,https://en.wikipedia.org/wiki/Cream_(band),50.0
200,Babe Ruth,,
201,Deep Purple,https://en.wikipedia.org/wiki/Deep_Purple,82.0
202,Muddy Waters,https://en.wikipedia.org/wiki/Muddy_Waters,53.0
203,Steppenwolf,https://en.wikipedia.org/wiki/Steppenwolf_(band),37.0
204,NOFX,https://en.wikipedia.org/wiki/NOFX,41.0
205,Rancid,https://en.wikipedia.org/wiki/Rancid_(band),31.0
206,The Rolling Stones,,
209,Grand Funk Railroad,https://en.wikipedia.org/wiki/Grand_Funk_Railroad,31.0
210,Sweet Savage,,
211,Metallica,https://en.wikipedia.org/wiki/Metallica,118.0
212,Dire Straits,https://en.wikipedia.org/wiki/Dire_Straits,79.0
213,The Judds,,
214,Eric Clapton,https://en.wikipedia.org/wiki/Eric_Clapton,85.0
215,Highway 101,,
216,Mark Knopfler,https://en.wikipedia.org/wiki/Mark_Knopfler,51.0
217,Indigo Girls,,
218,Bay City Rollers,,
220,Dead or Alive,,
221,Double You,,
222,Philip Glass,https://en.wikipedia.org/wiki/Philip_Glass,58.0
223,Aerosmith,https://en.wikipedia.org/wiki/Aerosmith,77.0
224,Eminem,https://en.wikipedia.org/wiki/Eminem,157.0
225,Jerry Jeff Walker,https://en.wikipedia.org/wiki/Jerry_Jeff_Walker,13.0
227,Buffy Sainte-Marie,https://en.wikipedia.org/wiki/Buffy_Sainte-Marie,30.0
229,Alex Chilton,https://en.wikipedia.org/wiki/Alex_Chilton,19.0
230,Elvis Costello,https://en.wikipedia.org/wiki/Elvis_Costello,50.0
231,Santa Esmeralda,,
232,The Blues Brothers,,
233,Henry Mancini,https://en.wikipedia.org/wiki/Henry_Mancini,56.0
235,Will Young,,
236,John Barry,,
237,Lulu,,
238,Anal Cunt,,
239,Mariah Carey,https://en.wikipedia.org/wiki/Mariah_Carey,111.0
240,No Doubt,https://en.wikipedia.org/wiki/No_Doubt,51.0
241,Cynthiana,,
242,Jimmy Ruffin,,
243,Bing Crosby,https://en.wikipedia.org/wiki/Bing_Crosby,115.0
244,Dionne Warwick,,
