ceremony,year,category,artist,work,role
9,1966,Record of the Year,Jimmy Bowen,"(producer) & Frank Sinatra for "" Strangers in the Night """,nominee
9,1966,Album of the Year,Sonny Burke,(producer) & Frank Sinatra for A Man and His Music,nominee
9,1966,Song of the Year,John Lennon,"& Paul McCartney (songwriters) for "" Michelle "" performed by The Beatles",nominee
