ceremony,year,category,artist,work,role
15,1972,Record of the Year,Joel Dorn,"(producer) & Roberta Flack for "" The First Time Ever I Saw Your Face "" performed by Roberta Flack",nominee
15,1972,Album of the Year,George Harrison,"(producer & artist), Phil Spector (producer), Eric Clapton , Bob Dylan , Billy Preston , Leon Russell , Ravi Shankar , Ringo Starr & Klaus Voormann for The Concert for Bangladesh",nominee
15,1972,Song of the Year,Ewan MacColl,"(songwriter) for "" The First Time Ever I Saw Your Face "" performed by Roberta Flack",nominee
15,1972,Best New Artist,America,,nominee
