ceremony,year,category,artist,work,role
10,1967,Record of the Year,Johnny Rivers,"& Marc Gordon (producers) & The 5th Dimension for "" Up, Up and Away """,nominee
10,1967,Album of the Year,The Beatles,& George Martin (producer) for Sgt. Pepper's Lonely Hearts Club Band,nominee
10,1967,Song of the Year,Jimmy L. Webb,"(songwriter) for "" Up, Up and Away "" performed by The 5th Dimension",nominee
10,1967,Best New Artist,Bobbie Gentry,,nominee
