ceremony,year,category,artist,work,role
16,1973,Record of the Year,Joel Dorn,"(producer) & Roberta Flack for "" Killing Me Softly with His Song """,nominee
16,1973,Album of the Year,Stevie Wonder,(producer & artist) for Innervisions,nominee
16,1973,Song of the Year,Charles Fox,"& Norman Gimbel (songwriters) for ""Killing Me Softly with His Song"" performed by Roberta Flack",nominee
16,1973,Best New Artist,Bette Midler,,nominee
