ceremony,year,category,artist,work,role
6,1963,Record of the Year,Henry Mancini,Days of Wine and Roses,winner
6,1963,Record of the Year,Jack Jones,Wives And Lovers,nominee
6,1963,Record of the Year,Tony Bennett,I Wanna Be Around,nominee
6,1963,Record of the Year,Barbra Streisand,Happy Days Are Here Again,nominee
6,1963,Record of the Year,Sœur Sourire,Dominique,nominee
6,1963,Album of the Year (other than classical),Barbra Streisand,The  Album,winner
6,1963,Album of the Year (other than classical),The Singing Nun Album,Sœur Sourire for,nominee
6,1963,Album of the Year (other than classical),Andy Williams,Days Of Wine And Roses,nominee
6,1963,Album of the Year (other than classical),Al Hirt,Honey In The Horn,nominee
6,1963,Album of the Year (other than classical),The Swingle Singers,Bach's Greatest Hits,nominee
6,1963,Song of the Year,Henry Mancini,"& Johnny Mercer (songwriters) for ""Days of Wine and Roses"" performed by",winner
6,1963,Song of the Year,Burt Bacharach,"& Hal David (songwriters) for "" Wives And Lovers "" performed by Jack Jones",nominee
6,1963,Song of the Year,Sacha Distal,"& Jack Reardon (songwriters) for ""The Good Life"" performed by Tony Bennett",nominee
6,1963,Song of the Year,Johnny Mercer,"& Sadie Vimmerstedt (songwriters) for ""I Wanna Be Around"" performed by Tony Bennett",nominee
6,1963,Song of the Year,Sammy Cahn,"& Jimmy Van Heusen (songwriters) for "" Call Me Irresponsible "" performed by Frank Sinatra",nominee
6,1963,Best New Artist,Ward Swingle,(The Swingle Singers),winner
6,1963,Best New Artist,Vikki Carr,,nominee
6,1963,Best New Artist,J's With Jamie,,nominee
6,1963,Best New Artist,John Gary,,nominee
6,1963,Best New Artist,Trini Lopez,,nominee
