ceremony,year,category,artist,work,role
18,1975,Record of the Year,Love Will Keep Us Together,"""  "" - Captain & Tennille (artist) & Daryl Dragon (producer)",nominee
18,1975,Album of the Year,Still Crazy After All These Years,- Paul Simon (artist) - Phil Ramone & Paul Simon (producers),nominee
18,1975,Song of the Year,Send In the Clowns,"""  "" - Judy Collins (artist) - Stephen Sondheim (songwriter)",nominee
18,1975,Best New Artist,Natalie Cole,,nominee
