ceremony,year,category,artist,work,role
7,1964,Record of the Year,Astrud Gilberto,"& Stan Getz for "" The Girl from Ipanema """,winner
7,1964,Record of the Year,Barbra Streisand,People,nominee
7,1964,Record of the Year,The Beatles,I Want To Hold Your Hand,nominee
7,1964,Record of the Year,Louis Armstrong,"Hello, Dolly!",nominee
7,1964,Record of the Year,Petula Clark,Downtown,nominee
7,1964,Album of the Year,João Gilberto,& Stan Getz for Getz/Gilberto,winner
7,1964,Album of the Year,Henry Mancini,The Pink Panther,nominee
7,1964,Album of the Year,People,Barbra Streisand for,nominee
7,1964,Album of the Year,Funny Girl,Barbra Streisand for,nominee
7,1964,Album of the Year,Al Hirt,Cotton Candy,nominee
7,1964,Song of the Year,Jerry Herman,"(songwriter) for "" Hello, Dolly! "" performed by Louis Armstrong",winner
7,1964,Song of the Year,Leslie Bricusse,"& Anthony Newley (songwriters) for "" Who Can I Turn To? "" performed by Anthony Newley",nominee
7,1964,Song of the Year,Bob Merrill,"& Jule Styne (songwriters) for ""People"" performed by Barbra Streisand",nominee
7,1964,Song of the Year,Ray Evans,", Jay Livingston & Henry Mancini (songwriters) for Dear Heart performed by Henry Mancini",nominee
7,1964,Song of the Year,John Lennon,"& Paul McCartney (songwriters) for "" A Hard Day's Night "" performed by The Beatles",nominee
7,1964,Best New Artist,The Beatles,,winner
7,1964,Best New Artist,Petula Clark,,nominee
7,1964,Best New Artist,Morgana King,,nominee
7,1964,Best New Artist,Antonio Carlos Jobim,,nominee
7,1964,Best New Artist,Astrud Gilberto,,nominee
