ceremony,year,category,artist,work,role
4,1961,Record of the Year,Henry Mancini,Moon River,winner
4,1961,Record of the Year,Si Zentner,Up A Lazy River,nominee
4,1961,Record of the Year,Frank Sinatra,The Second Time Around,nominee
4,1961,Record of the Year,Dave Brubeck,Take Five,nominee
4,1961,Record of the Year,Jimmy Dean,Big Bad John,nominee
4,1961,Album of the Year (other than classical),Judy Garland,Judy at Carnegie Hall,winner
4,1961,Album of the Year (other than classical),John Green,West Side Story (Motion Picture Soundtrack),nominee
4,1961,Album of the Year (other than classical),Nat King Cole,The  Story,nominee
4,1961,Album of the Year (other than classical),Johnny Mann,Great Band With Great Voices performed by Si Zentner,nominee
4,1961,Album of the Year (other than classical),Ray Charles,Genius + Soul = Jazz,nominee
4,1961,Album of the Year (other than classical),Henry Mancini,Breakfast At Tiffany's,nominee
4,1961,Song of the Year,Henry Mancini,"& Johnny Mercer (songwriters) for "" Moon River "" performed by",winner
4,1961,Song of the Year,Betty Comden,", Adolph Green & Jule Styne (songwriters) for "" Make Someone Happy "" performed by Perry Como",nominee
4,1961,Song of the Year,Tony Velona,"(songwriter) for "" Lollipops And Roses "" performed by Jack Jones",nominee
4,1961,Song of the Year,"Jimmy Dean (songwriter) for ""Big Bad John"" performed by Jimmy Dean",,nominee
4,1961,Song of the Year,Hank Cochran,"(songwriter) for "" A Little Bitty Tear "" performed by Burl Ives",nominee
4,1961,Best New Artist,Peter Nero,,winner
4,1961,Best New Artist,Timi Yuro,,nominee
4,1961,Best New Artist,Dick Gregory,,nominee
4,1961,Best New Artist,Ann-Margret,,nominee
4,1961,Best New Artist,The Lettermen,,nominee
