ceremony,year,category,artist,work,role
17,1974,Record of the Year,John Farrar,"(producer) & Olivia Newton-John for "" I Honestly Love You "" (accepted by Art Garfunkel )",nominee
17,1974,Album of the Year,Stevie Wonder,(producer & artist) for Fulfillingness' First Finale,nominee
17,1974,Song of the Year,Alan and Marilyn Bergman,"& Marvin Hamlisch (songwriters) for "" The Way We Were "" performed by Barbra Streisand",nominee
17,1974,Best New Artist,Marvin Hamlisch,,nominee
