ceremony,year,category,artist,work,role
11,1968,Record of the Year,Paul Simon,"& Roy Halee (producers) & Simon & Garfunkel for "" Mrs. Robinson """,nominee
11,1968,Album of the Year,Al De Lory,(producer) & Glen Campbell for By the Time I Get to Phoenix,nominee
11,1968,Song of the Year,Bobby Russell,"(songwriter) for "" Little Green Apples "" performed by Roger Miller / O.C. Smith",nominee
11,1968,Best New Artist,José Feliciano,,nominee
