YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1971,1,2,2,ONE LESS BELL TO ANSWER,The 5th Dimension,Bell,11,2,
1971,1,3,4,KNOCK THREE TIMES,Dawn,Bell,7,3,
1971,1,6,6,I THINK I LOVE YOU,The Partridge Family (Starring Shirley Jones and Featuring David Cassidy),Bell,13,1,
1971,1,7,8,DOES ANYBODY REALLY KNOW WHAT TIME IT IS,Chicago,Columbia,9,7,
1971,1,10,9,GYPSY WOMAN,Brian Hyland,Uni,18,3,
1971,1,11,14,FOR THE GOOD TIMES,Ray Price,Columbia,19,11,
1971,1,12,13,STONEY END,Barbra Streisand,Columbia,10,12,
1971,1,13,10,NO MATTER WHAT,Badfinger,Apple,10,8,
1971,1,14,23,PAY TO THE PIPER,The Chairmen Of the Board,Invictus,8,14,
1971,1,15,19,IT’S IMPOSSIBLE,Perry Como,RCA,8,15,
1971,1,17,18,GROOVE ME,King Floyd,Chimneyville,11,17,
1971,1,18,33,ROSE GARDEN,Lynn Anderson,Columbia,6,18,
1971,1,19,11,5-10-15-20 (25-30 Years Of Love),The Presidents,Sussex,14,11,
1971,1,22,20,HE AIN’T HEAVY…HE’S MY BROTHER,Neil Diamond,Uni,9,20,
1971,1,23,24,IF I WERE YOUR WOMAN,Gladys Knight and the Pips,Soul,6,23,
1971,1,26,21,BE MY BABY,Andy Kim,Steed,9,17,
1971,1,28,15,WE’VE ONLY JUST BEGUN,The Carpenters,A&M,17,2,
1971,1,29,16,I’LL BE THERE,Jackson 5,Motown,16,1,
1971,1,30,25,CAN’T STOP LOVING YOU,Tom Jones,Parrot,7,25,
1971,1,31,39,GAMES,Redeye,Pentagram,9,31,
1971,1,32,40,WE GOTTA GET YOU A WOMAN,Runt (Todd Rundgren),Ampex,8,32,
1971,1,33,50,STOP THE WAR NOW,Edwin Starr,Gordy,3,33,
1971,1,34,48,(Don’t Worry) IF THERE’S A HELL BELOW WE’RE ALL GOING TO GO,Curtis Mayfield,Curtom,7,34,
1971,1,36,53,BORN TO WANDER,Rare Earth,Rare Earth,4,36,
1971,1,37,34,I’M NOT MY BROTHER’S KEEPER,The Flaming Ember,Hot Wax,12,34,
1971,1,38,36,DO IT,Neil Diamond,Bang,9,36,
1971,1,40,44,MR. BOJANGLES,The Nitty Gritty Dirt Band,Liberty,7,40,
1971,1,42,49,MOST OF ALL,B.J. Thomas,Scepter,6,42,
1971,1,43,45,SILVER MOON,Michael Nesmith and the First National Band,RCA,6,43,
1971,1,45,46,THE GREEN GRASS STARTS TO GROW,Dionne Warwick,Scepter,5,45,
1971,1,47,74,REMEMBER ME,Diana Ross,Motown,2,47,
1971,1,48,58,AMAZING GRACE,Judy Collins,Elektra,4,48,
1971,1,49,51,STEALER,Free,A&M,6,49,
1971,1,50,52,AMOS MOSES,Jerry Reed,RCA,10,50,
1971,2,1,1,MY SWEET LORD / ISN’T IT A PITY,George Harrison,Apple,7,1,3 weeks at #1
1971,2,2,3,KNOCK THREE TIMES,Dawn,Bell,8,2,
1971,2,3,2,ONE LESS BELL TO ANSWER,The 5th Dimension,Bell,12,2,
1971,2,4,5,BLACK MAGIC WOMAN,Santana,Columbia,9,4,
1971,2,5,6,I THINK I LOVE YOU,The Partridge Family (Starring Shirley Jones and Featuring David Cassidy),Bell,14,1,
1971,2,6,4,THE TEARS OF A CLOWN,Smokey Robinson and the Miracles,Tamla,13,1,
1971,2,7,7,DOES ANYBODY REALLY KNOW WHAT TIME IT IS,Chicago,Columbia,10,7,
1971,2,8,8,STONED LOVE,The Supremes,Motown,10,7,
1971,2,9,21,LONELY DAYS,The Bee Gees,Atco,6,9,
1971,2,10,12,STONEY END,Barbra Streisand,Columbia,11,10,
1971,2,11,17,GROOVE ME,King Floyd,Chimneyville,12,11,
1971,2,12,15,IT’S IMPOSSIBLE,Perry Como,RCA,9,12,
1971,2,13,14,PAY TO THE PIPER,The Chairmen Of the Board,Invictus,9,13,
1971,2,14,16,RIVER DEEP-MOUNTAIN HIGH,The Supremes and the Four Tops,Motown,7,14,
1971,2,15,9,DOMINO,Van Morrison,Warner Brothers,9,9,
1971,2,16,11,FOR THE GOOD TIMES,Ray Price,Columbia,20,11,
1971,2,17,25,YOUR SONG,Elton John,Uni,7,17,
1971,2,18,18,ROSE GARDEN,Lynn Anderson,Columbia,7,18,
1971,2,19,20,ONE MAN BAND,Three Dog Night,Dunhill,8,19,
1971,2,20,23,IF I WERE YOUR WOMAN,Gladys Knight and the Pips,Soul,7,20,
1971,2,21,13,NO MATTER WHAT,Badfinger,Apple,11,8,
1971,2,22,10,GYPSY WOMAN,Brian Hyland,Uni,19,3,
1971,2,23,24,IMMIGRANT SONG,Led Zeppelin,Atlantic,8,23,
1971,2,24,27,LOVE THE ONE YOU’RE WITH,Stephen Stills,Atlantic,5,24,
1971,2,25,32,WE GOTTA GET YOU A WOMAN,Runt (Todd Rundgren),Ampex,9,25,
1971,2,26,22,HE AIN’T HEAVY…HE’S MY BROTHER,Neil Diamond,Uni,10,20,
1971,2,27,26,BE MY BABY,Andy Kim,Steed,10,17,
1971,2,28,31,GAMES,Redeye,Pentagram,10,28,
1971,2,29,35,I REALLY DON’T WANT TO KNOW / THERE GOES MY EVERYTHING,Elvis Presley,RCA,3,29,
1971,2,30,34,(Don’t Worry) IF THERE’S A HELL BELOW WE’RE ALL GOING TO GO,Curtis Mayfield,Curtom,8,30,
1971,2,31,47,REMEMBER ME,Diana Ross,Motown,3,31,
1971,2,32,36,BORN TO WANDER,Rare Earth,Rare Earth,5,32,
1971,2,33,33,STOP THE WAR NOW,Edwin Starr,Gordy,4,33,
1971,2,34,30,CAN’T STOP LOVING YOU,Tom Jones,Parrot,8,25,
