YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1964,1,1,2,THERE! I’VE SAID IT AGAIN,Bobby Vinton,Epic,6,1,1 week at #1
1964,1,2,3,LOUIE LOUIE,The Kingsmen,Wand,9,2,
1964,1,3,1,DOMINIQUE,The Singing Nun,Philips,9,1,
1964,1,4,4,SINCE I FELL FOR YOU,Lenny Welch,Cadence,11,4,
1964,1,5,7,FORGET HIM,Bobby Rydell,Cameo,9,5,
1964,1,6,8,POPSICLES AND ICICLES,The Murmaids,Chattahoochee,7,6,
1964,1,7,9,TALK BACK TREMBLING LIPS,Johnny Tillotson,MGM,9,7,
1964,1,9,13,THE NITTY GRITTY,Shirley Ellis,Congress,8,9,
1964,1,10,11,MIDNIGHT MARY,Joey Powers,Amy,9,10,
1964,1,11,5,YOU DON’T HAVE TO BE A BABY TO CRY,The Caravelles,Smash,10,3,
1964,1,12,6,DRIP DROP,Dion DiMucci,Columbia,8,6,
1964,1,13,21,SURFIN’ BIRD,The Trashmen,Garrett,5,13,
1964,1,15,15,WIVES AND LOVERS,Jack Jones,Kapp,10,15,
1964,1,17,24,DRAG CITY,Jan and Dean,Liberty,5,17,
1964,1,19,37,WHISPERING,Nino Tempo and April Stevens,Atco,3,19,
1964,1,20,18,THE BOY NEXT DOOR,The Secrets,Philips,9,18,
1964,1,21,16,I’M LEAVING IT UP TO YOU,Dale and Grace,Montel/Michelle,14,1,
1964,1,23,25,KANSAS CITY,Trini Lopez,Reprise,8,23,
1964,1,25,17,EVERYBODY,Tommy Roe,ABC-Paramount,12,3,
1964,1,27,30,TURN AROUND,Dick and DeeDee,Warner Brothers,7,27,
1964,1,29,31,FOR YOUR PRECIOUS LOVE,Garnet Mimms and the Enchanters,United Artists,7,29,
1964,1,30,23,HAVE YOU HEARD,The Duprees Featuring Joey Vann,Coed,9,18,
1964,1,31,42,SOMEWHERE,The Tymes,Parkway,5,31,
1964,1,32,64,ANYONE WHO HAD A HEART,Dionne Warwick,Scepter,5,32,
1964,1,33,38,OUT OF LIMITS,The Marketts,Warner Brothers,5,33,
1964,1,35,46,HEY LITTLE COBRA,The Rip Chords,Columbia,4,35,
1964,1,37,27,IN MY ROOM,The Beach Boys,Capitol,10,23,
1964,1,38,35,STEWBALL,"Peter, Paul and Mary",Warner Brothers,6,35,
1964,1,39,45,I GOTTA DANCE TO KEEP FROM CRYING,The Miracles,Tamla,7,39,
1964,1,40,52,DAISY PETAL PICKIN’,Jimmy Gilmer and the Fireballs,Dot,4,40,
1964,1,43,26,WONDERFUL SUMMER,Robin Ward,Dot,10,14,
1964,1,46,36,BABY DON’T YOU WEEP,Garnet Mimms and the Enchanters,United Artists,8,30,
1964,1,52,33,BAD GIRL,Neil Sedaka,RCA Victor,8,33,
1964,1,44,55,HOOKA TOOKA,Chubby Checker,Parkway,5,44,
1964,1,45,49,TRA LA LA LA SUZY,Dean and Jean,Rust,10,40,
1964,1,47,56,THE MARVELOUS TOY,The Chad Mitchell Trio,Mercury,6,47,
1964,1,48,51,GIRLS GROW UP FASTER THAN BOYS,The Cookies,Dimension,6,48,
1964,1,49,72,YOU DON’T OWN ME,Lesley Gore,Mercury,2,49,
1964,2,1,1,THERE! I’VE SAID IT AGAIN,Bobby Vinton,Epic,7,1,2 weeks at #1
1964,2,2,2,LOUIE LOUIE,The Kingsmen,Wand,10,2,
1964,2,3,6,POPSICLES AND ICICLES,The Murmaids,Chattahoochee,8,3,
1964,2,4,3,DOMINIQUE,The Singing Nun,Philips,10,1,
1964,2,5,5,FORGET HIM,Bobby Rydell,Cameo,10,5,
1964,2,6,4,SINCE I FELL FOR YOU,Lenny Welch,Cadence,12,4,
1964,2,7,13,SURFIN’ BIRD,The Trashmen,Garrett,6,7,
1964,2,8,9,THE NITTY GRITTY,Shirley Ellis,Congress,9,8,
1964,2,9,7,TALK BACK TREMBLING LIPS,Johnny Tillotson,MGM,10,7,
1964,2,10,10,MIDNIGHT MARY,Joey Powers,Amy,10,10,
1964,2,11,8,QUICKSAND,Martha and the Vandellas,Gordy,8,8,
1964,2,12,14,AS USUAL,Brenda Lee,Decca,5,12,
1964,2,13,17,DRAG CITY,Jan and Dean,Liberty,6,13,
1964,2,14,15,WIVES AND LOVERS,Jack Jones,Kapp,11,14,
1964,2,15,16,PRETTY PAPER,Roy Orbison,Monument,5,15,
1964,2,16,19,WHISPERING,Nino Tempo and April Stevens,Atco,4,16,
1964,2,17,11,YOU DON’T HAVE TO BE A BABY TO CRY,The Caravelles,Smash,11,3,
1964,2,18,12,DRIP DROP,Dion DiMucci,Columbia,9,6,
1964,2,19,35,HEY LITTLE COBRA,The Rip Chords,Columbia,5,19,
1964,2,20,33,OUT OF LIMITS,The Marketts,Warner Brothers,6,20,
1964,2,21,26,THAT LUCKY OLD SUN,Ray Charles,ABC-Paramount,6,21,
1964,2,22,32,ANYONE WHO HAD A HEART,Dionne Warwick,Scepter,6,22,
1964,2,23,28,WHEN THE LOVELIGHT STARTS SHINING THROUGH HIS EYES,The Supremes,Motown,7,23,
1964,2,24,24,CAN I GET A WITNESS,Marvin Gaye,Tamla,13,22,
1964,2,25,31,SOMEWHERE,The Tymes,Parkway,6,25,
1964,2,26,29,FOR YOUR PRECIOUS LOVE,Garnett Mimms and the Enchanters,United Artists,8,26,
1964,2,27,41,FOR YOU,Rick Nelson,Decca,3,27,
1964,2,28,22,LODDY LO,Chubby Checker,Parkway,11,12,
1964,2,29,23,KANSAS CITY,Trini Lopez,Reprise,9,23,
1964,2,30,40,DAISY PETAL PICKIN’,Jimmy Gilmer and the Fireballs,Dot,5,30,
1964,2,31,58,"UM, UM, UM, UM, UM, UM",Major Lance,Okeh,2,31,
1964,2,32,42,"BABY, I LOVE YOU",The Ronettes,Philles,4,32,
1964,2,33,44,HOOKA TOOKA,Chubby Checker,Parkway,6,33,
1964,2,34,34,NEED TO BELONG,Jerry Butler,Vee-Jay,8,34,
1964,2,35,39,I GOTTA DANCE TO KEEP FROM CRYING,The Miracles,Tamla,8,35,
1964,2,36,27,TURN AROUND,Dick and DeeDee,Warner Brothers,8,27,
1964,2,37,49,YOU DON’T OWN ME,Lesley Gore,Mercury,3,37,
1964,2,38,18,BE TRUE TO YOUR SCHOOL,The Beach Boys,Capitol,11,6,
1964,2,39,21,I’M LEAVING IT UP TO YOU,Dale and Grace,Montel/Michelle,15,1,
1964,2,40,20,THE BOY NEXT DOOR,The Secrets,Philips,10,18,
1964,2,41,25,EVERYBODY,Tommy Roe,ABC-Paramount,13,3,
1964,2,44,37,IN MY ROOM,The Beach Boys,Capitol,11,23,
1964,2,45,36,I HAVE A BOYFRIEND,The Chiffons,Laurie,9,36,
1964,2,48,38,STEWBALL,"Peter, Paul and Mary",Warner Brothers,7,35,
1964,2,49,30,HAVE YOU HEARD,The Duprees Featuring Joey Vann,Coed,10,18,
1964,2,42,45,TRA LA LA LA SUZY,Dean and Jean,Rust,11,40,
1964,2,43,48,GIRLS GROW UP FASTER THAN BOYS,The Cookies,Dimension,7,43,
1964,2,46,47,THE MARVELOUS TOY,The Chad Mitchell Trio,Mercury,7,46,
