YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1972,1,1,1,BRAND NEW KEY,Melanie,Neighborhood,10,1,2 weeks at #1
1972,1,2,3,AMERICAN PIE (Parts 1 and 2),Don McLean,United Artists,6,2,
1972,1,7,8,SCORPIO,Dennis Coffey and the Detroit Guitar Band,Sussex,10,7,
1972,1,8,13,SUNSHINE,Jonathan Edwards,Capricorn,8,8,
1972,1,9,9,CHERISH,David Cassidy,Bell,9,9,
1972,1,10,10,HEY GIRL / I KNEW YOU WHEN,Donny Osmond,MGM,6,10,
1972,1,12,17,I’D LIKE TO TEACH THE WORLD TO SING (In Perfect Harmony),The New Seekers,Elektra,5,12,
1972,1,13,14,YOU ARE EVERYTHING,The Stylistics,Avco,9,13,
1972,1,16,21,I’D LIKE TO TEACH THE WORLD TO SING (In Perfect Harmony),The Hillside Singers,Metromedia,6,16,
1972,1,17,26,DAY AFTER DAY,Badfinger,Apple,5,17,
1972,1,18,28,DROWNING IN THE SEA OF LOVE,Joe Simon,Spring,6,18,
1972,1,19,23,CLEAN UP WOMAN,Betty Wright,Alston,6,19,
1972,1,20,22,ONE MONKEY DON’T STOP NO SHOW (Part 1),The Honey Cone,Hot Wax,7,20,
1972,1,21,31,SUGAR DADDY,Jackson 5,Motown,4,21,
1972,1,22,15,WHERE DID OUR LOVE GO,Donnie Elbert,All Platinum,12,15,
1972,1,23,16,THEME FROM “SHAFT”,Isaac Hayes,Enterprise,12,1,
1972,1,24,11,BABY I’M-A WANT YOU,Bread,Elektra,11,3,
1972,1,25,19,"GYPSYS, TRAMPS AND THIEVES",Cher,Kapp,16,1,
1972,1,26,30,AN AMERICAN TRILOGY (Dixie / Battle Hymn Of the Republic / All My Trials) (Medley),Mickey Newbury,Elektra,9,26,
1972,1,27,25,STONES / CRUNCHY GRANOLA SUITE,Neil Diamond,Uni,8,14,
1972,1,28,32,HEY BIG BROTHER,Rare Earth,Rare Earth,6,28,
1972,1,31,29,THEME FROM SUMMER OF ’42,Peter Nero,Columbia,12,21,
1972,1,32,45,ONCE YOU UNDERSTAND,Think (Featuring Lou Stallman),Laurie,5,32,
1972,1,33,37,KISS AN ANGEL GOOD MORNIN’,Charley Pride,RCA,7,33,
1972,1,34,33,HALLELUJAH,Sweathog,Columbia,8,33,
1972,1,36,43,ANTICIPATION,Carly Simon,Elektra,4,36,
1972,1,37,44,IT’S ONE OF THOSE NIGHTS (Yes Love),The Partridge Family Starring Shirley Jones and Featuring David Cassidy,Bell,3,37,
1972,1,38,40,"WHITE LIES, BLUE EYES",Bullet,Big Tree,9,38,
1972,1,42,39,CAN I GET A WITNESS,Lee Michaels,A&M,7,39,
1972,1,41,41,NOTHING TO HIDE,Tommy James,Roulette,6,41,
1972,1,43,81,NEVER BEEN TO SPAIN,Three Dog Night,Dunhill,2,43,
1972,1,46,48,MAKE ME THE WOMAN THAT YOU GO HOME TO,Gladys Knight and the Pips,Soul,3,46,
1972,1,48,60,THAT’S THE WAY I FEEL ABOUT ‘CHA,Bobby Womack and Peace,United Artists,4,48,
1972,1,50,54,MY BOY,Richard Harris,Dunhill,7,50,
1972,2,1,1,BRAND NEW KEY,Melanie,Neighborhood,11,1,3 weeks at #1
1972,2,2,2,AMERICAN PIE (Parts 1 and 2),Don McLean,United Artists,7,2,
1972,2,4,14,LET’S STAY TOGETHER,Al Green,Hi,6,4,
1972,2,5,5,GOT TO BE THERE,Michael Jackson,Motown,11,4,
1972,2,6,7,SCORPIO,Dennis Coffey and the Detroit Guitar Band,Sussex,11,6,
1972,2,7,8,SUNSHINE,Jonathan Edwards,Capricorn,9,7,
1972,2,8,12,I’D LIKE TO TEACH THE WORLD TO SING (In Perfect Harmony),The New Seekers,Elektra,6,8,
1972,2,9,9,CHERISH,David Cassidy,Bell,10,9,
1972,2,10,10,HEY GIRL / I KNEW YOU WHEN,Donny Osmond,MGM,7,10,
1972,2,11,13,YOU ARE EVERYTHING,The Stylistics,Avco,10,11,
1972,2,12,21,SUGAR DADDY,Jackson 5,Motown,5,12,
1972,2,13,19,CLEAN UP WOMAN,Betty Wright,Alston,7,13,
1972,2,14,16,I’D LIKE TO TEACH THE WORLD TO SING (In Perfect Harmony),The Hillside Singers,Metromedia,7,14,
1972,2,15,20,ONE MONKEY DON’T STOP NO SHOW (Part 1),The Honey Cone,Hot Wax,8,15,
1972,2,16,17,DAY AFTER DAY,Badfinger,Apple,6,16,
1972,2,17,18,DROWNING IN THE SEA OF LOVE,Joe Simon,Spring,7,17,
1972,2,18,4,AN OLD FASHIONED LOVE SONG,Three Dog Night,Dunhill,9,4,
1972,2,19,6,HAVE YOU SEEN HER,The Chi-Lites,Brunswick,12,3,
1972,2,20,11,ALL I EVER NEED IS YOU,Sonny and Cher,Kapp,13,7,
1972,2,21,15,RESPECT YOURSELF,The Staple Singers,Stax,13,12,
1972,2,22,28,HEY BIG BROTHER,Rare Earth,Rare Earth,7,22,
1972,2,23,36,ANTICIPATION,Carly Simon,Elektra,5,23,
1972,2,24,43,NEVER BEEN TO SPAIN,Three Dog Night,Dunhill,3,24,
