YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1961,1,2,3,WONDERLAND BY NIGHT,Bert Kaempfert,Decca,7,2,
1961,1,3,2,LAST DATE,Floyd Cramer,RCA Victor,12,2,
1961,1,4,7,A THOUSAND STARS,Kathy Young and the Innocents,Indigo,10,3,
1961,1,5,6,EXODUS,Ferrante and Teicher,United Artists,7,5,
1961,1,6,4,NORTH TO ALASKA,Johnny Horton,Columbia,15,4,
1961,1,7,8,MANY TEARS AGO,Connie Francis,MGM,8,7,
1961,1,8,9,YOU’RE SIXTEEN,Johnny Burnette,Liberty,9,8,
1961,1,9,5,SAILOR (Your Home Is the Sea),Lolita,Kapp,10,5,
1961,1,10,27,"CORINNA, CORINNA",Ray Peterson,Dunes,6,10,
1961,1,12,12,LONELY TEENAGER,Dion,Laurie,11,12,
1961,1,13,23,ANGEL BABY,Rosie and the Originals,Highland,3,13,
1961,1,16,15,RUBBER BALL,Bobby Vee,Liberty,5,15,
1961,1,17,20,WONDERLAND BY NIGHT,Louis Prima,Dot,7,17,
1961,1,18,11,POETRY IN MOTION,Johnny Tillotson,Cadence,12,2,
1961,1,19,18,NEW ORLEANS,Gary (U.S.) Bonds,Legrand,11,6,
1961,1,21,62,RUDOLPH THE RED NOSED REINDEER,David Seville and the Chipmunks,Liberty,2,21,
1961,1,23,14,SWAY,Bobby Rydell,Cameo,8,14,
1961,1,24,28,THE LITTLE DRUMMER BOY,The Harry Simeone Chorale,20th Fox,19,13,
1961,1,25,16,BLUE TANGO,Bill Black’s Combo,Hi,5,16,
1961,1,27,47,WONDERLAND BY NIGHT,Anita Bryant,Carlton,4,27,
1961,1,29,33,FOOLS RUSH IN (Where Angels Fear To Tread),Brook Benton,Mercury,7,24,
1961,1,30,13,STAY,Maurice Williams and the Zodiacs,Herald,13,1,
1961,1,31,41,DOLL HOUSE,Donnie Brooks,Era,5,31,
1961,1,35,42,WINGS OF A DOVE,Ferlin Husky,Capitol,5,35,
1961,1,36,46,JINGLE BELL ROCK,Bobby Helms,Decca,13,6,
1961,1,37,31,I’LL SAVE THE LAST DANCE FOR YOU,Damita Jo,Mercury,10,22,
1961,1,38,34,BALLAD OF THE ALAMO,Marty Robbins,Columbia,11,34,
1961,1,39,30,I GOTTA KNOW,Elvis Presley,RCA Victor,7,20,
1961,1,41,24,LAST DATE,Lawrence Welk and His Orchestra,Dot,7,21,
1961,1,43,39,AM I LOSING YOU,Jim Reeves,RCA Victor,10,31,
1961,1,65,40,NATURAL BORN LOVER,Fats Domino,Imperial,9,38,
1961,1,42,65,CALCUTTA,Lawrence Welk and His Orchestra,Dot,3,42,
