YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1970,1,1,3,RAINDROPS KEEP FALLIN’ ON MY HEAD,B.J. Thomas,Scepter,10,1,1 week at #1
1970,1,2,2,LEAVING ON A JET PLANE,"Peter, Paul and Mary",Warner Brothers,11,1,
1970,1,5,5,NA NA HEY HEY KISS HIM GOODBYE,Steam,Fontana,12,1,
1970,1,7,8,I WANT YOU BACK,Jackson 5,Motown,8,7,
1970,1,8,19,VENUS,The Shocking Blue,Colossus,4,8,
1970,1,9,6,HOLLY HOLY,Neil Diamond,Uni,10,6,
1970,1,10,14,LA LA LA (If I Had You),Bobby Sherman,Metromedia,7,10,
1970,1,11,11,MIDNIGHT COWBOY,Ferrante and Teicher,United Artists,10,11,
1970,1,13,20,JAM UP AND JELLY TIGHT,Tommy Roe,ABC,8,13,
1970,1,16,10,TAKE A LETTER MARIA,R.B. Greaves,Atco,12,2,
1970,1,17,22,JINGLE JANGLE,The Archies,Kirshner,6,17,
1970,1,18,30,EARLY IN THE MORNING,Vanity Fare,Page One,7,18,
1970,1,19,18,BACKFIELD IN MOTION,Mel and Tim,Bamboo,12,10,
1970,1,20,15,AND WHEN I DIE,"Blood, Sweat and Tears",Columbia,12,2,
1970,1,22,28,EVIL WOMAN DON’T PLAY YOUR GAMES WITH ME,Crow,Amaret,11,22,
1970,1,24,17,FRIENDSHIP TRAIN,Gladys Knight and the Pips,Soul,11,17,
1970,1,25,26,UP ON CRIPPLE CREEK,The Band,Capitol,10,25,
1970,1,26,24,SMILE A LITTLE SMILE FOR ME,The Flying Machine,Congress,14,5,
1970,1,29,50,WITHOUT LOVE (There Is Nothing),Tom Jones,Parrot,2,29,
1970,1,30,25,"BABY, I’M FOR REAL",The Originals,Soul,15,14,
1970,1,32,29,WEDDING BELL BLUES,The 5th Dimension,Soul City,15,1,
1970,1,33,33,COLD TURKEY,The Plastic Ono Band,Apple,8,33,
1970,1,34,21,CHERRY HILL PARK,Billy Joe Royal,Columbia,14,15,
1970,1,35,41,WINTER WORLD OF LOVE,Engelbert Humperdinck,Parrot,5,35,
1970,1,36,31,HEAVEN KNOWS,The Grass Roots,Dunhill,9,24,
1970,1,37,39,"WONDERFUL WORLD, BEAUTIFUL PEOPLE",Jimmy Cliff,A&M,5,37,
1970,1,40,51,I’LL NEVER FALL IN LOVE AGAIN,Dionne Warwick,Scepter,2,40,
1970,1,49,35,SUNDAY MORNIN’,Oliver,Crewe,7,35,
1970,1,41,42,OKIE FROM MUSKOGEE,Merle Haggard and the Strangers,Capitol,10,41,
1970,1,43,47,ARIZONA,Mark Lindsay,Columbia,5,43,
1970,1,44,53,FANCY,Bobbie Gentry,Capitol,7,44,
1970,1,45,54,WALKIN’ IN THE RAIN,Jay and the Americans,United Artists,7,45,
1970,1,46,58,SHE CAME IN THROUGH THE BATHROOM WINDOW,Joe Cocker,A&M,5,46,
1970,1,50,55,LET’S WORK TOGETHER (Part 1),Wilbert Harrison,Sue,5,50,
1970,2,1,1,RAINDROPS KEEP FALLIN’ ON MY HEAD,B.J. Thomas,Scepter,11,1,2 weeks at #1
1970,2,2,3,SOMEDAY WE’LL BE TOGETHER,Diana Ross and the Supremes,Motown,10,1,
1970,2,3,2,LEAVING ON A JET PLANE,"Peter, Paul and Mary",Warner Brothers,12,1,
1970,2,4,7,I WANT YOU BACK,Jackson 5,Motown,9,4,
1970,2,5,6,WHOLE LOTTA LOVE / LIVING LOVING MAID (She’s Just a Woman),Led Zeppelin,Atlantic,8,5,
1970,2,6,8,VENUS,The Shocking Blue,Colossus,5,6,
1970,2,7,4,DOWN ON THE CORNER / FORTUNATE SON,Creedence Clearwater Revival,Fantasy,12,3,
1970,2,8,5,NA NA HEY HEY KISS HIM GOODBYE,Steam,Fontana,13,1,
1970,2,9,10,LA LA LA (If I Had You),Bobby Sherman,Metromedia,8,9,
1970,2,10,13,JAM UP AND JELLY TIGHT,Tommy Roe,ABC,9,10,
1970,2,11,15,DON’T CRY DADDY / RUBBERNECKIN’,Elvis Presley,RCA,7,11,
1970,2,12,11,MIDNIGHT COWBOY,Ferrante and Teicher,United Artists,11,11,
1970,2,13,9,HOLLY HOLY,Neil Diamond,Uni,11,6,
1970,2,14,17,JINGLE JANGLE,The Archies,Kirshner,7,14,
1970,2,15,14,ELI’S COMING,Three Dog Night,Dunhill,12,10,
1970,2,16,12,COME TOGETHER / SOMETHING,The Beatles,Apple,13,1,
1970,2,17,29,WITHOUT LOVE (There Is Nothing),Tom Jones,Parrot,3,17,
1970,2,18,18,EARLY IN THE MORNING,Vanity Fare,Page One,8,18,
1970,2,19,22,EVIL WOMAN DON’T PLAY YOUR GAMES WITH ME,Crow,Amaret,12,19,
1970,2,20,16,TAKE A LETTER MARIA,R.B. Greaves,Atco,13,2,
1970,2,21,40,I’LL NEVER FALL IN LOVE AGAIN,Dionne Warwick,Scepter,3,21,
1970,2,22,19,BACKFIELD IN MOTION,Mel and Tim,Bamboo,13,10,
1970,2,23,23,"YESTER-ME, YESTER-YOU, YESTERDAY",Stevie Wonder,Tamla,13,7,
1970,2,24,28,SHE,Tommy James and the Shondells,Roulette,5,24,
1970,2,25,31,AIN’T IT FUNKY NOW (Part 1),James Brown,King,8,25,
