YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1963,1,1,1,TELSTAR,The Tornadoes,London,10,1,3 weeks at #1
1963,1,2,4,GO AWAY LITTLE GIRL,Steve Lawrence,Columbia,9,2,
1963,1,4,3,BOBBY’S GIRL,Marcie Blane,Seville,12,3,
1963,1,6,10,HOTEL HAPPINESS,Brook Benton,Mercury,8,6,
1963,1,7,11,PEPINO THE ITALIAN MOUSE,Lou Monte,Reprise,5,7,
1963,1,9,9,ZIP-A-DEE DOO-DAH,Bob B. Soxx and the Blue Jeans,Philles,8,9,
1963,1,10,14,TELL HIM,The Exciters,United Artists,6,10,
1963,1,11,20,MY DAD,Paul Petersen,Colpix,8,11,
1963,1,13,8,RELEASE ME,Esther Phillips “Little Esther”,Lenox,11,8,
1963,1,14,21,THE NIGHT HAS A THOUSAND EYES,Bobby Vee,Liberty,5,14,
1963,1,16,15,THE LONELY BULL (El Solo Torro),The Tijuana Brass Featuring Herb Alpert,A&M,11,6,
1963,1,17,13,DEAR LONELY HEARTS,Nat King Cole,Capitol,9,13,
1963,1,18,17,CHAINS,The Cookies,Dimension,9,17,
1963,1,19,12,KEEP YOUR HANDS OFF MY BABY,Little Eva,Dimension,10,12,
1963,1,21,16,DON’T HANG UP,The Orlons,Cameo,13,4,
1963,1,23,24,WIGGLE WOBBLE,Les Cooper and the Soul Rockers,Everlast,12,23,
1963,1,24,18,LOVE CAME TO ME,Dion,Laurie,9,10,
1963,1,25,39,I SAW LINDA YESTERDAY,Dickey Lee,Smash,5,25,
1963,1,27,22,RUBY ANN,Marty Robbins,Columbia,8,18,
1963,1,28,34,SHUTTERS AND BOARDS,Jerry Wallace,Challenge,8,28,
1963,1,30,31,MONSTERS’ HOLIDAY,Bobby (Boris) Pickett and the Crypt-Kickers,Garpax,5,30,
1963,1,31,25,RIDE,Dee Dee Sharp,Cameo,12,5,
1963,1,32,46,DON’T MAKE ME OVER,Dionne Warwick,Scepter,5,32,
1963,1,34,49,TROUBLE IS MY MIDDLE NAME,Bobby Vinton,Epic,5,34,
1963,1,35,61,LOOP DE LOOP,Johnny Thunder,Diamond,3,35,
1963,1,36,32,YOUR CHEATING HEART,Ray Charles,ABC-Paramount,8,29,
1963,1,38,26,RUMORS,Johnny Crawford,Del-Fi,10,12,
1963,1,39,51,I’M GONNA BE WARM THIS WINTER,Connie Francis,MGM,4,39,
1963,1,40,35,LET’S GO (Pony),The Routers,Warner Brothers,10,19,
1963,1,41,37,DESAFINADO,Stan Getz/Charlie Byrd,Verve,15,15,
1963,1,45,36,COMIN’ HOME BABY,Mel Torme,Atlantic,10,36,
1963,1,42,58,REMEMBER THEN,The Earls,Old Town,4,42,
1963,1,43,42,LET’S KISS AND MAKE UP,Bobby Vinton,Epic,6,42,
1963,1,44,52,SOME KINDA FUN,Chris Montez,Monogram,5,44,
1963,1,46,69,YOU’VE REALLY GOT A HOLD ON ME,The Miracles,Tamla,5,46,
1963,1,47,53,THE LOVE OF A BOY,Timi Yuro,Liberty,6,47,
1963,1,48,67,MY COLORING BOOK,Kitty Kallen,RCA Victor,3,48,
1963,1,50,41,THE PUSH AND KICK,Mark Valentino,Swan,9,27,
1963,2,1,2,GO AWAY LITTLE GIRL,Steve Lawrence,Columbia,10,1,1 week at #1
1963,2,2,1,TELSTAR,The Tornadoes,London,11,1,
1963,2,3,3,LIMBO ROCK,Chubby Checker,Parkway,19,2,
1963,2,4,6,HOTEL HAPPINESS,Brook Benton,Mercury,9,4,
1963,2,5,7,PEPINO THE ITALIAN MOUSE,Lou Monte,Reprise,6,5,
1963,2,6,10,TELL HIM,The Exciters,United Artists,7,6,
1963,2,7,14,THE NIGHT HAS A THOUSAND EYES,Bobby Vee,Liberty,6,7,
1963,2,8,9,ZIP-A-DEE DOO-DAH,Bob B. Soxx and the Blue Jeans,Philles,9,8,
1963,2,9,15,TWO LOVERS,Mary Wells,Motown,7,9,
1963,2,10,11,MY DAD,Paul Petersen,Colpix,9,10,
1963,2,11,5,BIG GIRLS DON’T CRY,The Four Seasons,Vee-Jay,13,1,
1963,2,12,4,BOBBY’S GIRL,Marcie Blane,Seville,13,3,
1963,2,13,8,RETURN TO SENDER,Elvis Presley,RCA Victor,13,2,
1963,2,14,20,IT’S UP TO YOU,Rick Nelson,Imperial,5,14,
1963,2,15,12,YOU ARE MY SUNSHINE,Ray Charles,ABC-Paramount,9,7,
1963,2,16,22,UP ON THE ROOF,The Drifters,Atlantic,11,16,
1963,2,17,25,I SAW LINDA YESTERDAY,Dickey Lee,Smash,6,17,
1963,2,18,16,THE LONELY BULL (El Solo Torro),The Tijuana Brass Featuring Herb Alpert,A&M,12,6,
1963,2,19,35,LOOP DE LOOP,Johnny Thunder,Diamond,4,19,
1963,2,20,29,HALF HEAVEN – HALF HEARTACHE,Gene Pitney,Musicor,5,20,
1963,2,21,26,EVERYBODY LOVES A LOVER,The Shirelles,Scepter,7,21,
1963,2,22,23,WIGGLE WOBBLE,Les Cooper and the Soul Rockers,Everlast,13,22,
1963,2,23,13,RELEASE ME,Esther Phillips “Little Esther”,Lenox,12,8,
1963,2,24,28,SHUTTERS AND BOARDS,Jerry Wallace,Challenge,9,24,
1963,2,25,17,DEAR LONELY HEARTS,Nat King Cole,Capitol,10,13,
1963,2,26,18,CHAINS,The Cookies,Dimension,10,17,
1963,2,27,24,LOVE CAME TO ME,Dion,Laurie,10,10,
1963,2,28,32,DON’T MAKE ME OVER,Dionne Warwick,Scepter,6,28,
1963,2,29,19,KEEP YOUR HANDS OFF MY BABY,Little Eva,Dimension,11,12,
1963,2,30,53,HEY PAULA,Paul and Paula,Philips,3,30,
1963,2,31,21,DON’T HANG UP,The Orlons,Cameo,14,4,
1963,2,32,42,REMEMBER THEN,The Earls,Old Town,5,32,
1963,2,33,46,YOU’VE REALLY GOT A HOLD ON ME,The Miracles,Tamla,6,33,
1963,2,34,34,TROUBLE IS MY MIDDLE NAME,Bobby Vinton,Epic,6,34,
1963,2,35,71,WALK RIGHT IN,The Rooftop Singers,Vanguard,2,35,
1963,2,36,37,SEE SEE RIDER,LaVern Baker,Atlantic,7,36,
1963,2,37,39,I’M GONNA BE WARM THIS WINTER,Connie Francis,MGM,5,37,
1963,2,38,48,MY COLORING BOOK,Kitty Kallen,RCA Victor,4,38,
1963,2,39,30,MONSTERS’ HOLIDAY,Bobby (Boris) Pickett and the Crypt-Kickers,Garpax,6,30,
1963,2,40,43,LET’S KISS AND MAKE UP,Bobby Vinton,Epic,7,40,
1963,2,41,31,RIDE,Dee Dee Sharp,Cameo,13,5,
1963,2,44,27,RUBY ANN,Marty Robbins,Columbia,9,18,
