YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1975,1,3,4,KUNG FU FIGHTING,Carl Douglas,20th Century,13,1,
1975,1,5,8,LAUGHTER IN THE RAIN,Neil Sedaka,Rocket,12,5,
1975,1,6,1,ANGIE BABY,Helen Reddy,Capitol,12,1,
1975,1,7,9,ONLY YOU,Ringo Starr,Apple,8,7,
1975,1,9,11,PLEASE MR. POSTMAN,The Carpenters,A&M,7,9,
1975,1,10,12,MANDY,Barry Manilow,Bell,8,10,
1975,1,11,5,CAT’S IN THE CRADLE,Harry Chapin,Elektra,13,1,
1975,1,12,13,MUST OF GOT LOST,The J. Geils Band,Atlantic,9,12,
1975,1,13,14,ONE MAN WOMAN / ONE WOMAN MAN,Paul Anka with Odia Coates,United Artists,9,13,
1975,1,15,19,MORNING SIDE OF THE MOUNTAIN,Donny and Marie Osmond,MGM,8,15,
1975,1,17,7,WHEN WILL I SEE YOU AGAIN,The Three Degrees,Philadelphia International,15,2,
1975,1,18,18,NEVER CAN SAY GOODBYE,Gloria Gaynor,MGM,10,18,
1975,1,20,24,FIRE,The Ohio Players,Mercury,4,20,
1975,1,21,25,DOCTOR’S ORDERS,Carol Douglas,Midland International,6,21,
1975,1,22,27,PICK UP THE PIECES,The Average White Band (AWB),Atlantic,5,22,
1975,1,23,29,SOME KIND OF WONDERFUL,Grand Funk,Capitol,4,23,
1975,1,25,32,ROCK ‘N’ ROLL (I Gave You the Best Years of My Life),Mac Davis,Columbia,5,25,
1975,1,26,28,RIDE ‘EM COWBOY,Paul Davis,Bang,13,26,
1975,1,27,35,GET DANCIN’ (Part 1),Disco Tex and the Sex-O-Lettes,Chelsea,7,27,
1975,1,29,23,I FEEL A SONG (In My Heart) / DON’T BURN DOWN THE BRIDGE,Gladys Knight and the Pips,Buddah,13,21,
1975,1,30,38,FROM HIS WOMAN TO YOU,Barbara Mason,Buddah,6,30,
1975,1,31,21,I CAN HELP,Billy Swan,Monument,15,1,
1975,1,32,40,BEST OF MY LOVE,Eagles,Asylum,6,32,
1975,1,33,37,"RUBY, BABY",Billy “Crash” Craddock,ABC,7,33,
1975,1,34,41,I BELONG TO YOU,Love Unlimited,20th Century,6,34,
1975,1,36,22,DO IT (‘Til You’re Satisfied),B.T. Express,Scepter,15,2,
1975,1,40,57,STRUTTIN’,Billy Preston,A&M,4,40,
1975,1,43,33,WOMAN TO WOMAN,Shirley Brown,Truth,10,22,
1975,1,45,34,WISHING YOU WERE HERE,Chicago,Columbia,12,11,
1975,1,41,63,LOOK IN MY EYES PRETTY WOMAN,Tony Orlando and Dawn,Bell,3,41,
1975,1,44,54,READY,Cat Stevens,A&M,5,44,
1975,1,50,51,SUGAR PIE GUY (Part 1),The Joneses,Mercury,14,50,
1975,2,1,1,LUCY IN THE SKY WITH DIAMONDS,Elton John,MCA,7,1,2 weeks at #1
1975,2,2,2,"YOU’RE THE FIRST, THE LAST, MY EVERYTHING",Barry White,20th Century,11,2,
1975,2,3,4,JUNIOR’S FARM / SALLY G,Paul McCartney and Wings,Apple,10,3,
1975,2,4,5,LAUGHTER IN THE RAIN,Neil Sedaka,Rocket,13,4,
1975,2,5,10,MANDY,Barry Manilow,Bell,9,5,
1975,2,6,7,ONLY YOU,Ringo Starr,Apple,9,6,
1975,2,7,8,BOOGIE ON REGGAE WOMAN,Stevie Wonder,Tamla,9,7,
1975,2,8,9,PLEASE MR. POSTMAN,The Carpenters,A&M,8,8,
1975,2,9,3,KUNG FU FIGHTING,Carl Douglas,20th Century,14,1,
1975,2,10,13,ONE MAN WOMAN / ONE WOMAN MAN,Paul Anka with Odia Coates,United Artists,10,10,
1975,2,11,15,MORNING SIDE OF THE MOUNTAIN,Donny and Marie Osmond,MGM,9,11,
1975,2,12,14,BUNGLE IN THE JUNGLE,Jethro Tull,Chrysalis,11,12,
1975,2,13,6,ANGIE BABY,Helen Reddy,Capitol,13,1,
1975,2,14,18,NEVER CAN SAY GOODBYE,Gloria Gaynor,MGM,11,14,
1975,2,15,16,DARK HORSE,George Harrison,Apple,8,15,
1975,2,16,20,FIRE,The Ohio Players,Mercury,5,16,
1975,2,17,21,DOCTOR’S ORDERS,Carol Douglas,Midland International,7,17,
1975,2,18,22,PICK UP THE PIECES,The Average White Band (AWB),Atlantic,6,18,
1975,2,19,23,SOME KIND OF WONDERFUL,Grand Funk,Capitol,5,19,
1975,2,20,25,ROCK ‘N’ ROLL (I Gave You the Best Years of My Life),Mac Davis,Columbia,6,20,
1975,2,21,27,GET DANCIN’ (Part 1),Disco Tex and the Sex-O-Lettes,Chelsea,8,21,
1975,2,22,11,CAT’S IN THE CRADLE,Harry Chapin,Elektra,14,1,
1975,2,23,19,SHA-LA-LA (Make Me Happy),Al Green,Hi,16,7,
1975,2,24,26,RIDE ‘EM COWBOY,Paul Davis,Bang,14,24,
1975,2,25,24,YOU GOT THE LOVE,Rufus Featuring Chaka Khan,ABC,14,11,
1975,2,26,32,BEST OF MY LOVE,Eagles,Asylum,7,26,
1975,2,27,35,FREE BIRD,Lynyrd Skynyrd,MCA,8,27,
1975,2,28,17,WHEN WILL I SEE YOU AGAIN,The Three Degrees,Philadelphia International,16,2,
1975,2,29,37,YOU’RE NO GOOD,Linda Ronstadt,Capitol,6,29,
1975,2,30,30,FROM HIS WOMAN TO YOU,Barbara Mason,Buddah,7,30,
1975,2,31,34,I BELONG TO YOU,Love Unlimited,20th Century,7,31,
1975,2,32,40,STRUTTIN’,Billy Preston,A&M,5,32,
1975,2,33,41,LOOK IN MY EYES PRETTY WOMAN,Tony Orlando and Dawn,Bell,4,33,
1975,2,34,39,THE ENTERTAINER,Billy Joel,Columbia,7,34,
1975,2,35,47,#9 DREAM,John Lennon,Apple,4,35,
1975,2,36,44,READY,Cat Stevens,A&M,6,36,
1975,2,37,64,SWEET SURRENDER,John Denver,RCA,3,37,
1975,2,38,46,BLACK WATER,The Doobie Brothers,Warner Brothers,4,38,
1975,2,39,29,I FEEL A SONG (In My Heart) / DON’T BURN DOWN THE BRIDGE,Gladys Knight and the Pips,Buddah,14,21,
1975,2,40,31,I CAN HELP,Billy Swan,Monument,16,1,
1975,2,41,33,"RUBY, BABY",Billy “Crash” Craddock,ABC,8,33,
1975,2,43,28,DANCIN’ FOOL,The Guess Who,RCA,8,28,
1975,2,44,12,MUST OF GOT LOST,The J. Geils Band,Atlantic,10,12,
1975,2,45,36,DO IT (‘Til You’re Satisfied),B.T. Express,Scepter,16,2,
1975,2,49,38,PROMISED LAND,Elvis Presley,RCA,12,14,
1975,2,42,48,CHANGES,David Bowie,RCA,13,42,
1975,2,46,58,YOUR BULLDOG DRINKS CHAMPAGNE,Jim Stafford,MGM,4,46,
1975,2,47,50,SUGAR PIE GUY (Part 1),The Joneses,Mercury,15,47,
1975,2,48,52,MY EYES ADORED YOU,Frankie Valli,Private Stock,8,48,
1975,2,50,66,LONELY PEOPLE,America,Warner Brothers,3,50,
1975,3,1,5,MANDY,Barry Manilow,Bell,10,1,1 week at #1
1975,3,2,8,PLEASE MR. POSTMAN,The Carpenters,A&M,9,2,
1975,3,3,4,LAUGHTER IN THE RAIN,Neil Sedaka,Rocket,14,3,
1975,3,4,2,"YOU’RE THE FIRST, THE LAST, MY EVERYTHING",Barry White,20th Century,12,2,
1975,3,5,1,LUCY IN THE SKY WITH DIAMONDS,Elton John,MCA,8,1,
1975,3,6,7,BOOGIE ON REGGAE WOMAN,Stevie Wonder,Tamla,10,6,
1975,3,8,10,ONE MAN WOMAN / ONE WOMAN MAN,Paul Anka with Odia Coates,United Artists,11,8,
1975,3,9,11,MORNING SIDE OF THE MOUNTAIN,Donny and Marie Osmond,MGM,10,9,
1975,3,10,14,NEVER CAN SAY GOODBYE,Gloria Gaynor,MGM,12,10,
1975,3,11,16,FIRE,The Ohio Players,Mercury,6,11,
1975,3,12,6,ONLY YOU,Ringo Starr,Apple,10,6,
1975,3,13,17,DOCTOR’S ORDERS,Carol Douglas,Midland International,8,13,
1975,3,14,18,PICK UP THE PIECES,The Average White Band (AWB),Atlantic,7,14,
1975,3,15,19,SOME KIND OF WONDERFUL,Grand Funk,Capitol,6,15,
1975,3,16,20,ROCK ‘N’ ROLL (I Gave You the Best Years of My Life),Mac Davis,Columbia,7,16,
1975,3,17,21,GET DANCIN’ (Part 1),Disco Tex and the Sex-O-Lettes,Chelsea,9,17,
1975,3,18,12,BUNGLE IN THE JUNGLE,Jethro Tull,Chrysalis,12,12,
1975,3,19,26,BEST OF MY LOVE,Eagles,Asylum,8,19,
1975,3,20,9,KUNG FU FIGHTING,Carl Douglas,20th Century,15,1,
1975,3,21,29,YOU’RE NO GOOD,Linda Ronstadt,Capitol,7,21,
