YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1969,1,4,16,SOULFUL STRUT,Young-Holt Unlimited,Brunswick,6,4,
1969,1,5,4,WICHITA LINEMAN,Glen Campbell,Capitol,10,4,
1969,1,7,3,LOVE CHILD,Diana Ross and the Supremes,Motown,12,1,
1969,1,8,5,STORMY,The Classics IV Featuring Dennis Yost,Imperial,11,5,
1969,1,9,8,WHO’S MAKING LOVE,Johnnie Taylor,Stax,11,5,
1969,1,10,13,HOOKED ON A FEELING,B.J. Thomas,Scepter,8,10,
1969,1,11,9,I LOVE HOW YOU LOVE ME,Bobby Vinton,Epic,10,9,
1969,1,12,12,CINNAMON,Derek,Bang,11,12,
1969,1,13,23,TOO WEAK TO FIGHT,Clarence Carter,Atlantic,9,13,
1969,1,14,26,LO MUCHO QUE TE QUIERO (The More I Love You),Rene and Rene,White Whale,7,14,
1969,1,15,20,GOING UP THE COUNTRY,Canned Heat,Liberty,5,15,
1969,1,16,6,"ABRAHAM, MARTIN AND JOHN",Dion,Laurie,11,4,
1969,1,22,11,BOTH SIDES NOW,Judy Collins,Elektra,9,8,
1969,1,24,18,MAGIC CARPET RIDE,Steppenwolf,Dunhill,14,3,
1969,1,29,66,CAN I CHANGE MY MIND,Tyrone Davis,Dakar,3,29,
1969,1,30,27,SCARBOROUGH FAIR,Sergio Mendes and Brasil ’66,A&M,8,16,
1969,1,31,36,MY SONG,Aretha Franklin,Atlantic,6,31,
1969,1,32,32,A RAY OF HOPE,The Rascals,Atlantic,5,32,
1969,1,33,34,STAND BY YOUR MAN,Tammy Wynette,Epic,9,33,
1969,1,34,40,HANG ‘EM HIGH,Booker T. and the MG’s,Stax,9,34,
1969,1,35,49,THERE’S GONNA BE A SHOWDOWN,Archie Bell and the Drells,Atlantic,4,35,
1969,1,36,19,CHEWY CHEWY,The Ohio Express,Buddah,12,15,
1969,1,38,53,WORST THAT COULD HAPPEN,Brooklyn Bridge,Buddah,3,38,
1969,1,39,48,BABY LET’S WAIT,The Royal Guardsmen,Laurie,8,39,
1969,1,41,33,BATTLE HYMN OF THE REPUBLIC,Andy Williams with the St. Charles Borromeo Choir,Columbia,12,33,
1969,1,45,22,LITTLE ARROWS,Leapy Lee,Decca,13,16,
1969,1,49,39,PEOPLE,The Tymes,Columbia,8,39,
1969,1,50,37,I CAN’T TURN YOU LOOSE,The Chambers Brothers,Columbia,7,37,
1969,1,62,29,"SHAME, SHAME",The Magic Lanterns,Atlantic,11,29,
1969,1,42,46,BELLA LINDA,The Grass Roots,Dunhill,6,42,
1969,1,44,50,READY OR NOT HERE I COME (Can’t Hide From Love),The Delfonics,Philly Groove,5,44,
1969,1,46,47,MY FAVORITE THINGS,Herb Alpert and the Tijuana Brass,A&M,4,46,
1969,1,47,74,I’VE GOTTA BE ME,"Sammy Davis, Jr.",Reprise,4,47,
1969,1,48,51,MALINDA,Bobby Taylor and the Vancouvers,Gordy,5,48,
1969,2,1,1,I HEARD IT THROUGH THE GRAPEVINE,Marvin Gaye,Tamla,8,1,5 weeks at #1
1969,2,2,3,I’M GONNA MAKE YOU LOVE ME,Diana Ross and the Supremes and the Temptations,Motown,6,2,
1969,2,3,5,WICHITA LINEMAN,Glen Campbell,Capitol,11,3,
1969,2,4,4,SOULFUL STRUT,Young-Holt Unlimited,Brunswick,7,4,
1969,2,5,10,HOOKED ON A FEELING,B.J. Thomas,Scepter,9,5,
1969,2,6,6,CLOUD NINE,The Temptations,Gordy,9,6,
1969,2,7,2,FOR ONCE IN MY LIFE,Stevie Wonder,Tamla,11,2,
1969,2,8,17,CRIMSON AND CLOVER,Tommy James and the Shondells,Roulette,5,8,
1969,2,9,7,LOVE CHILD,Diana Ross and the Supremes,Motown,13,1,
1969,2,10,11,I LOVE HOW YOU LOVE ME,Bobby Vinton,Epic,11,9,
1969,2,11,12,CINNAMON,Derek,Bang,12,11,
1969,2,12,15,GOING UP THE COUNTRY,Canned Heat,Liberty,6,12,
1969,2,13,18,SON-OF-A PREACHER MAN,Dusty Springfield,Atlantic,7,13,
1969,2,14,14,LO MUCHO QUE TE QUIERO (The More I Love You),Rene and Rene,White Whale,8,14,
1969,2,15,8,STORMY,The Classics IV Featuring Dennis Yost,Imperial,12,5,
1969,2,16,16,"ABRAHAM, MARTIN AND JOHN",Dion,Laurie,12,4,
1969,2,17,26,IF I CAN DREAM,Elvis Presley,RCA,7,17,
1969,2,18,37,TOUCH ME,The Doors,Elektra,3,18,
1969,2,19,40,I STARTED A JOKE,The Bee Gees,Atco,4,19,
1969,2,20,9,WHO’S MAKING LOVE,Johnnie Taylor,Stax,12,5,
1969,2,21,13,TOO WEAK TO FIGHT,Clarence Carter,Atlantic,10,13,
1969,2,22,22,BOTH SIDES NOW,Judy Collins,Elektra,10,8,
1969,2,23,38,WORST THAT COULD HAPPEN,Brooklyn Bridge,Buddah,4,23,
1969,2,24,32,A RAY OF HOPE,The Rascals,Atlantic,6,24,
