YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1965,1,3,3,MR. LONELY,Bobby Vinton,Epic,10,1,
1965,1,4,4,SHE’S A WOMAN,The Beatles,Capitol,5,4,
1965,1,5,11,LOVE POTION NUMBER NINE,The Searchers,Kapp Winner’s Circle,6,5,
1965,1,7,5,SHE’S NOT THERE,The Zombies,Parrot,12,2,
1965,1,10,14,THE WEDDING,Julie Rogers,Mercury,7,10,
1965,1,11,7,RINGO,Lorne Greene,RCA Victor,10,1,
1965,1,12,41,DOWNTOWN,Petula Clark,Warner Brothers,3,12,
1965,1,13,13,SHA LA LA,Manfred Mann,Ascot,8,13,
1965,1,16,21,"MY LOVE, FORGIVE ME (Amore, Scusami)",Robert Goulet,Columbia,11,16,
1965,1,18,24,WILLOW WEEP FOR ME,Chad and Jeremy,World Artists,8,18,
1965,1,21,17,I’M INTO SOMETHING GOOD,Herman’s Hermits,MGM,12,13,
1965,1,23,28,LEADER OF THE LAUNDROMAT,The Detergents,Roulette,5,23,
1965,1,24,25,OH NO NOT MY BABY,Maxine Brown,Wand,11,24,
1965,1,25,32,THOU SHALT NOT STEAL,Dick and DeeDee,Warner Brothers,7,25,
1965,1,26,26,AS TEARS GO BY,Marianne Faithfull,London,6,26,
1965,1,27,30,DEAR HEART,Andy Williams,Columbia,6,27,
1965,1,31,42,DON’T FORGET I STILL LOVE YOU,Bobbi Martin,Coral,6,31,
1965,1,33,37,DEAR HEART,Jack Jones,Kapp,6,33,
1965,1,35,31,SHE UNDERSTANDS ME,Johnny Tillotson,MGM,10,31,
1965,1,37,40,WALK AWAY,Matt Monro,Liberty,6,37,
1965,1,38,39,WILD ONE,Martha and the Vandellas,Gordy,5,38,
1965,1,39,43,DO-WACKA-DO,Roger Miller,Smash,6,39,
1965,1,41,51,I’LL BE THERE,Gerry and the Pacemakers,Laurie,4,41,
1965,1,43,46,ROSES ARE RED MY LOVE,The “You Know Who” Group!,4 Corners,6,43,
1965,1,47,57,YOU’RE NOBODY TILL SOMEBODY LOVES YOU,Dean Martin,Reprise,4,47,
1965,1,49,52,HAWAII TATTOO,The Waikikis,Kapp Winner’s Circle,5,49,
1965,1,50,60,THE NAME GAME,Shirley Ellis,Congress,4,50,
1965,2,1,1,I FEEL FINE,The Beatles,Capitol,6,1,3 weeks at #1
1965,2,2,2,COME SEE ABOUT ME,The Supremes,Motown,9,1,
1965,2,3,3,MR. LONELY,Bobby Vinton,Epic,11,1,
1965,2,4,5,LOVE POTION NUMBER NINE,The Searchers,Kapp Winner’s Circle,7,4,
1965,2,5,12,DOWNTOWN,Petula Clark,Warner Brothers,4,5,
1965,2,6,6,GOIN’ OUT OF MY HEAD,Little Anthony and the Imperials,DCP,10,6,
1965,2,7,8,AMEN,The Impressions,ABC-Paramount,8,7,
1965,2,8,9,THE JERK,The Larks,Money,9,8,
1965,2,9,14,YOU’VE LOST THAT LOVIN’ FEELIN’,The Righteous Brothers,Philles,5,9,
1965,2,10,10,THE WEDDING,Julie Rogers,Mercury,8,10,
1965,2,11,4,SHE’S A WOMAN,The Beatles,Capitol,6,4,
1965,2,12,13,SHA LA LA,Manfred Mann,Ascot,9,12,
1965,2,13,15,KEEP SEARCHIN’ (We’ll Follow the Sun),Del Shannon,Amy,8,13,
1965,2,14,17,ANY WAY YOU WANT IT,The Dave Clark Five,Epic,9,14,
1965,2,15,19,HOW SWEET IT IS TO BE LOVED BY YOU,Marvin Gaye,Tamla,8,15,
1965,2,16,7,SHE’S NOT THERE,The Zombies,Parrot,13,2,
1965,2,17,18,WILLOW WEEP FOR ME,Chad and Jeremy,World Artists,9,17,
1965,2,18,16,"MY LOVE, FORGIVE ME (Amore, Scusami)",Robert Goulet,Columbia,12,16,
1965,2,19,23,LEADER OF THE LAUNDROMAT,The Detergents,Roulette,6,19,
1965,2,20,11,RINGO,Lorne Greene,RCA Victor,11,1,
1965,2,21,25,THOU SHALT NOT STEAL,Dick and DeeDee,Warner Brothers,8,21,
1965,2,22,26,AS TEARS GO BY,Marianne Faithfull,London,7,22,
1965,2,23,37,WALK AWAY,Matt Monro,Liberty,7,23,
1965,2,24,31,DON’T FORGET I STILL LOVE YOU,Bobbi Martin,Coral,7,24,
1965,2,25,27,DEAR HEART,Andy Williams,Columbia,7,25,
1965,2,26,28,TOO MANY FISH IN THE SEA,The Marvelettes,Tamla,10,26,
1965,2,27,21,I’M INTO SOMETHING GOOD,Herman’s Hermits,MGM,13,13,
1965,2,28,40,HOLD WHAT YOU’VE GOT,Joe Tex,Dial,4,28,
1965,2,29,41,I’LL BE THERE,Gerry and the Pacemakers,Laurie,5,29,
1965,2,30,33,DEAR HEART,Jack Jones,Kapp,7,30,
1965,2,31,39,DO-WACKA-DO,Roger Miller,Smash,7,31,
1965,2,32,34,ONE MORE TIME,The Ray Charles Singers,Command,9,32,
1965,2,33,22,"DANCE, DANCE, DANCE",The Beach Boys,Capitol,10,8,
1965,2,34,38,WILD ONE,Martha and the Vandellas,Gordy,6,34,
1965,2,35,49,HAWAII TATTOO,The Waikikis,Kapp Winner’s Circle,6,35,
