YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1968,1,3,6,JUDY IN DISGUISE (With Glasses),John Fred and His Playboy Band,Paula,7,3,
1968,1,4,2,I HEARD IT THROUGH THE GRAPEVINE,Gladys Knight and the Pips,Soul,11,2,
1968,1,5,5,"WOMAN, WOMAN",The Union Gap Featuring Gary Puckett,Columbia,8,5,
1968,1,8,8,"BEND ME, SHAPE ME",The American Breed,Acta,6,8,
1968,1,9,9,BOOGALOO DOWN BROADWAY,The Fantastic Johnny C.,Phil-L.A. Of Soul,14,7,
1968,1,12,25,GREEN TAMBOURINE,The Lemon Pipers,Buddah,4,12,
1968,1,15,13,INCENSE AND PEPPERMINTS,Strawberry Alarm Clock,Uni,15,1,
1968,1,16,12,YOU BETTER SIT DOWN KIDS,Cher,Imperial,11,9,
1968,1,17,17,NEXT PLANE TO LONDON,The Rose Garden,Atco,12,17,
1968,1,19,14,"THE RAIN, THE PARK AND OTHER THINGS",The Cowsills,MGM,15,2,
1968,1,20,16,I SAY A LITTLE PRAYER,Dionne Warwick,Scepter,12,4,
1968,1,21,29,SUSAN,The Buckinghams,Columbia,5,21,
1968,1,22,22,AND GET AWAY,The Esquires,Bunky,7,22,
1968,1,25,26,IT’S WONDERFUL,The Young Rascals,Atlantic,5,25,
1968,1,27,36,WHO WILL ANSWER,Ed Ames,RCA Victor,4,27,
1968,1,31,31,THE OTHER MAN’S GRASS IS ALWAYS GREENER,Petula Clark,Warner Brothers,6,31,
1968,1,32,42,LOVE POWER,The Sandpebbles,Calla,7,32,
1968,1,34,28,KEEP THE BALL ROLLIN’,Jay and the Techniques,Smash,12,14,
1968,1,35,62,NOBODY BUT ME,The Human Beinz,Capitol,5,35,
1968,1,36,33,BY THE TIME I GET TO PHOENIX,Glen Campbell,Capitol,11,26,
1968,1,37,47,BEST OF BOTH WORLDS,Lulu,Epic,4,37,
1968,1,38,48,GOIN’ OUT OF MY HEAD/CAN’T TAKE MY EYES OFF YOU (Medley),The Lettermen,Capitol,5,38,
1968,1,39,54,AM I THAT EASY TO FORGET,Engelbert Humperdinck,Parrot,4,39,
1968,1,55,24,NEON RAINBOW,The Box Tops,Mala,9,24,
1968,1,61,35,TOO MUCH OF NOTHING,"Peter, Paul and Mary",Warner Brothers,7,35,
1968,1,68,34,BABY YOU GOT IT,Brenton Wood,Double Shot,7,34,
1968,1,41,56,TWO LITTLE KIDS,Peaches and Herb,Date,4,41,
1968,1,43,53,ITCHYCOO PARK,The Small Faces,Immediate,9,43,
1968,1,44,44,WINDY,Wes Montgomery,A&M,7,44,
1968,1,46,46,IN THE MISTY MOONLIGHT,Dean Martin,Reprise,6,46,
1968,1,47,70,SPOOKY,The Classics IV,Imperial,3,47,
1968,2,1,1,HELLO GOODBYE,The Beatles,Capitol,7,1,3 weeks at #1
1968,2,2,3,JUDY IN DISGUISE (With Glasses),John Fred and His Playboy Band,Paula,8,2,
1968,2,3,2,DAYDREAM BELIEVER,The Monkees,Colgems,9,1,
1968,2,4,5,"WOMAN, WOMAN",The Union Gap Featuring Gary Puckett,Columbia,9,4,
1968,2,5,4,I HEARD IT THROUGH THE GRAPEVINE,Gladys Knight and the Pips,Soul,12,2,
1968,2,6,7,CHAIN OF FOOLS,Aretha Franklin,Atlantic,6,6,
1968,2,7,8,"BEND ME, SHAPE ME",The American Breed,Acta,7,7,
1968,2,8,6,I SECOND THAT EMOTION,Smokey Robinson and the Miracles,Tamla,11,4,
1968,2,9,12,GREEN TAMBOURINE,The Lemon Pipers,Buddah,5,9,
1968,2,10,10,SKINNY LEGS AND ALL,Joe Tex,Dial,12,10,
1968,2,11,11,HONEY CHILE,Martha Reeves and the Vandellas,Gordy,9,11,
1968,2,12,9,BOOGALOO DOWN BROADWAY,The Fantastic Johnny C.,Phil-L.A. Of Soul,15,7,
1968,2,13,13,IF I COULD BUILD MY WHOLE WORLD AROUND YOU,Marvin Gaye and Tammi Terrell,Tamla,7,13,
1968,2,14,18,DIFFERENT DRUM,The Stone Poneys Featuring Linda Ronstadt,Capitol,10,14,
1968,2,15,24,MONTEREY,Eric Burdon and the Animals,MGM,5,15,
1968,2,16,21,SUSAN,The Buckinghams,Columbia,6,16,
1968,2,17,14,SUMMER RAIN,Johnny Rivers,Imperial,9,14,
1968,2,18,35,NOBODY BUT ME,The Human Beinz,Capitol,6,18,
1968,2,19,27,WHO WILL ANSWER,Ed Ames,RCA Victor,5,19,
1968,2,20,25,IT’S WONDERFUL,The Young Rascals,Atlantic,6,20,
1968,2,21,16,YOU BETTER SIT DOWN KIDS,Cher,Imperial,12,9,
1968,2,22,17,NEXT PLANE TO LONDON,The Rose Garden,Atco,13,17,
1968,2,23,47,SPOOKY,The Classics IV,Imperial,4,23,
1968,2,24,29,COME SEE ABOUT ME,Jr. Walker and the All Stars,Soul,8,24,
1968,2,25,30,LOVE ME TWO TIMES,The Doors,Elektra,6,25,
1968,2,26,40,MY BABY MUST BE A MAGICIAN,The Marvelettes,Tamla,5,26,
1968,2,27,32,LOVE POWER,The Sandpebbles,Calla,8,27,
1968,2,28,28,TELL MAMA,Etta James,Cadet,10,28,
1968,2,29,38,GOIN’ OUT OF MY HEAD/CAN’T TAKE MY EYES OFF YOU (Medley),The Lettermen,Capitol,6,29,
1968,2,30,39,AM I THAT EASY TO FORGET,Engelbert Humperdinck,Parrot,5,30,
1968,2,31,41,TWO LITTLE KIDS,Peaches and Herb,Date,5,31,
1968,2,32,43,ITCHYCOO PARK,The Small Faces,Immediate,10,32,
1968,2,33,33,I CAN’T STAND MYSELF (When You Touch Me),James Brown and the Famous Flames,King,6,33,
1968,2,34,37,BEST OF BOTH WORLDS,Lulu,Epic,5,34,
1968,2,35,26,SHE’S MY GIRL,The Turtles,White Whale,10,14,
1968,2,36,48,SHE’S A RAINBOW,The Rolling Stones,London,3,36,
1968,2,37,15,INCENSE AND PEPPERMINTS,Strawberry Alarm Clock,Uni,16,1,
1968,2,38,52,"BABY, NOW THAT I’VE FOUND YOU",The Foundations,Uni,4,38,
1968,2,40,22,AND GET AWAY,The Esquires,Bunky,8,22,
1968,2,41,19,"THE RAIN, THE PARK AND OTHER THINGS",The Cowsills,MGM,16,2,
1968,2,42,20,I SAY A LITTLE PRAYER,Dionne Warwick,Scepter,13,4,
1968,2,45,31,THE OTHER MAN’S GRASS IS ALWAYS GREENER,Petula Clark,Warner Brothers,7,31,
1968,2,43,54,EXPLOSION (In Your Soul),The Soul Survivors,Crimson,4,43,
1968,2,44,49,EVERYBODY KNOWS,The Dave Clark Five,Epic,5,44,
1968,2,46,60,I WONDER WHAT SHE’S DOING TONITE,Tommy Boyce and Bobby Hart,A&M,4,46,
1968,2,47,57,SKIP A ROPE,Henson Cargill,Monument,4,47,
1968,2,48,59,THE LESSON,Vikki Carr,Liberty,4,48,
1968,2,49,62,TO GIVE (The Reason I Live),Frankie Valli,Philips,3,49,
1968,2,50,50,DEAR ELOISE,The Hollies,Epic,7,50,
1968,3,1,2,JUDY IN DISGUISE (With Glasses),John Fred and His Playboy Band,Paula,9,1,1 week at #1
1968,3,2,6,CHAIN OF FOOLS,Aretha Franklin,Atlantic,7,2,
1968,3,3,1,HELLO GOODBYE,The Beatles,Capitol,8,1,
1968,3,4,4,"WOMAN, WOMAN",The Union Gap Featuring Gary Puckett,Columbia,10,4,
1968,3,5,9,GREEN TAMBOURINE,The Lemon Pipers,Buddah,6,5,
1968,3,6,3,DAYDREAM BELIEVER,The Monkees,Colgems,10,1,
1968,3,7,7,"BEND ME, SHAPE ME",The American Breed,Acta,8,7,
1968,3,8,8,I SECOND THAT EMOTION,Smokey Robinson and the Miracles,Tamla,12,4,
1968,3,9,5,I HEARD IT THROUGH THE GRAPEVINE,Gladys Knight and the Pips,Soul,13,2,
1968,3,10,13,IF I COULD BUILD MY WHOLE WORLD AROUND YOU,Marvin Gaye and Tammi Terrell,Tamla,8,10,
1968,3,11,11,HONEY CHILE,Martha Reeves and the Vandellas,Gordy,10,11,
1968,3,12,10,SKINNY LEGS AND ALL,Joe Tex,Dial,13,10,
1968,3,13,16,SUSAN,The Buckinghams,Columbia,7,13,
1968,3,14,14,DIFFERENT DRUM,The Stone Poneys Featuring Linda Ronstadt,Capitol,11,14,
1968,3,15,15,MONTEREY,Eric Burdon and the Animals,MGM,6,15,
1968,3,16,23,SPOOKY,The Classics IV,Imperial,5,16,
1968,3,17,18,NOBODY BUT ME,The Human Beinz,Capitol,7,17,
1968,3,18,12,BOOGALOO DOWN BROADWAY,The Fantastic Johnny C.,Phil-L.A. Of Soul,16,7,
1968,3,19,19,WHO WILL ANSWER,Ed Ames,RCA Victor,6,19,
1968,3,20,38,"BABY, NOW THAT I’VE FOUND YOU",The Foundations,Uni,5,20,
1968,3,21,32,ITCHYCOO PARK,The Small Faces,Immediate,11,21,
