YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1960,1,1,2,WHY,Frankie Avalon,Chancellor,6,1,1 week at #1
1960,1,2,3,EL PASO,Marty Robbins,Columbia,8,2,
1960,1,3,4,THE BIG HURT,Miss Toni Fisher,Signet,7,3,
1960,1,4,6,IT’S TIME TO CRY,Paul Anka,ABC-Paramount,6,4,
1960,1,5,5,WAY DOWN YONDER IN NEW ORLEANS,Freddy Cannon,Swan,6,5,
1960,1,6,1,HEARTACHES BY THE NUMBER,Guy Mitchell,Columbia,13,1,
1960,1,7,9,AMONG MY SOUVENIRS,Connie Francis,MGM,6,7,
1960,1,9,10,HOUND DOG MAN,Fabian,Chancellor,7,9,
1960,1,10,19,PRETTY BLUE EYES,Steve Lawrence,ABC-Paramount,6,10,
1960,1,11,24,RUNNING BEAR,Johnny Preston,Mercury,11,11,
1960,1,12,8,WE GOT LOVE,Bobby Rydell,Cameo,12,6,
1960,1,13,14,SCARLET RIBBONS (For Her Hair),The Browns,RCA Victor,9,13,
1960,1,14,18,UH OH (Part 2),The Nutty Squirrels,Hanover,8,14,
1960,1,15,47,THE LITTLE DRUMMER BOY,The Harry Simeone Chorale,20th Fox,12,13,
1960,1,16,29,SANDY,Larry Hall,Strand,6,16,
1960,1,17,15,SO MANY WAYS,Brook Benton,Mercury,11,6,
1960,1,18,11,IN THE MOOD,Ernie Fields,Rendezvous,15,4,
1960,1,19,35,"GO, JIMMY, GO",Jimmy Clanton,Ace,4,19,
1960,1,20,12,THIS FRIENDLY WORLD,Fabian,Chancellor,6,12,
1960,1,21,13,DON’T YOU KNOW,Della Reese,RCA Victor,15,2,
1960,1,22,17,MR. BLUE,The Fleetwoods,Dolton,17,1,
1960,1,23,28,SMOKIE (Part 2),Bill Black’s Combo,Hi,5,23,
1960,1,25,16,OH CAROL,Neil Sedaka,RCA Victor,12,9,
1960,1,27,25,YOU GOT WHAT IT TAKES,Marv Johnson,United Artists,9,25,
1960,1,28,56,THE VILLAGE OF ST. BERNADETTE,Andy Williams,Cadence,3,28,
1960,1,29,32,FIRST NAME INITIAL,Annette with the Afterbeats,Buena Vista,10,29,
1960,1,30,23,TEAR DROP,Santo and Johnny,Canadian American,5,23,
1960,1,32,52,NOT ONE MINUTE MORE,Della Reese,RCA Victor,3,32,
1960,1,33,27,DANNY BOY,Conway Twitty,MGM,14,10,
1960,1,34,76,THE HAPPY REINDEER,"Dancer, Prancer and Nervous",Capitol,4,34,
1960,1,35,31,MARINA,Rocco Granata and the International Quintet,Laurie,8,31,
1960,1,36,22,MISTY,Johnny Mathis,Columbia,13,12,
1960,1,38,37,JUST AS MUCH AS EVER,Bob Beckham,Decca,20,32,
1960,1,39,36,GOD BLESS AMERICA,Connie Francis,MGM,7,36,
1960,1,40,34,ALWAYS,Sammy Turner,Big Top,9,19,
1960,1,44,30,REVEILLE ROCK,Johnny and the Hurricanes,Warwick,9,25,
1960,1,45,38,MIGHTY GOOD,Ricky Nelson,Imperial,5,38,
1960,1,47,40,BELIEVE ME,The Royal Teens,Capitol,10,26,
1960,1,56,39,"(If You Cry) TRUE LOVE, TRUE LOVE",The Drifters,Atlantic,8,33,
1960,1,41,68,THE CHIPMUNK SONG (Christmas Don’t Be Late),The Chipmunks with the Music Of David Seville,Liberty,16,1,
1960,1,42,46,MARINA,Willy Alberti,London,5,42,
1960,1,46,51,THE CLOUDS,The Spacemen,Alton,11,41,
1960,1,48,93,SWINGIN’ ON A RAINBOW,Frankie Avalon,Chancellor,2,48,
1960,1,49,61,HOW ABOUT THAT,Dee Clark,Abner,4,49,
1960,1,50,100,TEEN ANGEL,Mark Dinning,MGM,2,50,
1960,2,1,2,EL PASO,Marty Robbins,Columbia,9,1,1 week at #1
1960,2,2,1,WHY,Frankie Avalon,Chancellor,7,1,
1960,2,3,3,THE BIG HURT,Miss Toni Fisher,Signet,8,3,
1960,2,4,11,RUNNING BEAR,Johnny Preston,Mercury,12,4,
1960,2,5,5,WAY DOWN YONDER IN NEW ORLEANS,Freddy Cannon,Swan,7,5,
1960,2,6,6,HEARTACHES BY THE NUMBER,Guy Mitchell,Columbia,14,1,
1960,2,7,4,IT’S TIME TO CRY,Paul Anka,ABC-Paramount,7,4,
1960,2,8,7,AMONG MY SOUVENIRS,Connie Francis,MGM,7,7,
1960,2,9,10,PRETTY BLUE EYES,Steve Lawrence,ABC-Paramount,7,9,
1960,2,10,19,"GO, JIMMY, GO",Jimmy Clanton,Ace,5,10,
1960,2,11,12,WE GOT LOVE,Bobby Rydell,Cameo,13,6,
1960,2,12,8,MACK THE KNIFE,Bobby Darin,Atco,20,1,
1960,2,13,28,THE VILLAGE OF ST. BERNADETTE,Andy Williams,Cadence,4,13,
1960,2,14,14,UH OH (Part 2),The Nutty Squirrels,Hanover,9,14,
1960,2,15,16,SANDY,Larry Hall,Strand,7,15,
1960,2,16,9,HOUND DOG MAN,Fabian,Chancellor,8,9,
1960,2,17,13,SCARLET RIBBONS (For Her Hair),The Browns,RCA Victor,10,13,
1960,2,18,23,SMOKIE (Part 2),Bill Black’s Combo,Hi,6,18,
1960,2,19,32,NOT ONE MINUTE MORE,Della Reese,RCA Victor,4,19,
1960,2,20,20,THIS FRIENDLY WORLD,Fabian,Chancellor,7,12,
1960,2,21,18,IN THE MOOD,Ernie Fields,Rendezvous,16,4,
1960,2,22,15,THE LITTLE DRUMMER BOY,The Harry Simeone Chorale,20th Fox,13,13,
1960,2,23,27,YOU GOT WHAT IT TAKES,Marv Johnson,United Artists,10,23,
1960,2,24,29,FIRST NAME INITIAL,Annette with the Afterbeats,Buena Vista,11,24,
1960,2,25,17,SO MANY WAYS,Brook Benton,Mercury,12,6,
1960,2,26,25,OH CAROL,Neil Sedaka,RCA Victor,13,9,
1960,2,27,24,BE MY GUEST,Fats Domino,Imperial,11,8,
1960,2,28,30,TEAR DROP,Santo and Johnny,Canadian American,6,23,
1960,2,29,50,TEEN ANGEL,Mark Dinning,MGM,3,29,
1960,2,30,31,COME INTO MY HEART,Lloyd Price,ABC-Paramount,11,20,
1960,2,31,22,MR. BLUE,The Fleetwoods,Dolton,18,1,
1960,2,32,26,I WANNA BE LOVED,Ricky Nelson,Imperial,6,20,
1960,2,33,33,DANNY BOY,Conway Twitty,MGM,15,10,
1960,2,34,21,DON’T YOU KNOW,Della Reese,RCA Victor,16,2,
1960,2,35,43,TALK THAT TALK,Jackie Wilson,Brunswick,7,35,
1960,2,36,35,MARINA,Rocco Granata and the International Quintet,Laurie,9,31,
1960,2,37,55,JUST COME HOME,Hugo and Luigi,RCA Victor,4,37,
1960,2,38,49,HOW ABOUT THAT,Dee Clark,Abner,5,38,
1960,2,39,48,SWINGIN’ ON A RAINBOW,Frankie Avalon,Chancellor,3,39,
1960,2,40,36,MISTY,Johnny Mathis,Columbia,14,12,
1960,2,43,37,DANCE WITH ME,The Drifters,Atlantic,13,15,
1960,2,44,38,JUST AS MUCH AS EVER,Bob Beckham,Decca,21,32,
1960,2,45,34,THE HAPPY REINDEER,"Dancer, Prancer and Nervous",Capitol,5,34,
1960,2,59,40,ALWAYS,Sammy Turner,Big Top,10,19,
1960,2,89,39,GOD BLESS AMERICA,Connie Francis,MGM,8,36,
1960,2,41,58,HE’LL HAVE TO GO,Jim Reeves,RCA Victor,2,41,
1960,2,42,47,BELIEVE ME,The Royal Teens,Capitol,11,26,
1960,2,46,83,BONNIE CAME BACK,Duane Eddy,Jamie,2,46,
1960,2,47,53,(New In) THE WAYS OF LOVE,Tommy Edwards,MGM,8,47,
1960,2,48,62,IF I HAD A GIRL,Rod Lauren,RCA Victor,3,48,
1960,2,49,45,MIGHTY GOOD,Ricky Nelson,Imperial,6,38,
1960,3,1,1,EL PASO,Marty Robbins,Columbia,10,1,2 weeks at #1
1960,3,2,2,WHY,Frankie Avalon,Chancellor,8,1,
1960,3,3,5,WAY DOWN YONDER IN NEW ORLEANS,Freddy Cannon,Swan,8,3,
1960,3,4,4,RUNNING BEAR,Johnny Preston,Mercury,13,4,
1960,3,5,3,THE BIG HURT,Miss Toni Fisher,Signet,9,3,
1960,3,6,7,IT’S TIME TO CRY,Paul Anka,ABC-Paramount,8,4,
1960,3,7,10,"GO, JIMMY, GO",Jimmy Clanton,Ace,6,7,
1960,3,8,8,AMONG MY SOUVENIRS,Connie Francis,MGM,8,7,
1960,3,9,9,PRETTY BLUE EYES,Steve Lawrence,ABC-Paramount,8,9,
1960,3,10,6,HEARTACHES BY THE NUMBER,Guy Mitchell,Columbia,15,1,
1960,3,11,16,HOUND DOG MAN,Fabian,Chancellor,9,9,
1960,3,12,13,THE VILLAGE OF ST. BERNADETTE,Andy Williams,Cadence,5,12,
1960,3,13,12,MACK THE KNIFE,Bobby Darin,Atco,21,1,
1960,3,14,29,TEEN ANGEL,Mark Dinning,MGM,4,14,
1960,3,15,23,YOU GOT WHAT IT TAKES,Marv Johnson,United Artists,11,15,
1960,3,16,19,NOT ONE MINUTE MORE,Della Reese,RCA Victor,5,16,
1960,3,17,18,SMOKIE (Part 2),Bill Black’s Combo,Hi,7,17,
1960,3,18,11,WE GOT LOVE,Bobby Rydell,Cameo,14,6,
1960,3,19,15,SANDY,Larry Hall,Strand,8,15,
1960,3,20,24,FIRST NAME INITIAL,Annette with the Afterbeats,Buena Vista,12,20,
1960,3,21,20,THIS FRIENDLY WORLD,Fabian,Chancellor,8,12,
1960,3,22,22,THE LITTLE DRUMMER BOY,The Harry Simeone Chorale,20th Fox,14,13,
1960,3,23,17,SCARLET RIBBONS (For Her Hair),The Browns,RCA Victor,11,13,
1960,3,24,14,UH OH (Part 2),The Nutty Squirrels,Hanover,10,14,
1960,3,25,21,IN THE MOOD,Ernie Fields,Rendezvous,17,4,
1960,3,26,32,I WANNA BE LOVED,Ricky Nelson,Imperial,7,20,
1960,3,27,26,OH CAROL,Neil Sedaka,RCA Victor,14,9,
1960,3,28,51,WHERE OR WHEN,Dion and the Belmonts,Laurie,3,28,
1960,3,29,41,HE’LL HAVE TO GO,Jim Reeves,RCA Victor,3,29,
1960,3,30,28,TEAR DROP,Santo and Johnny,Canadian American,7,23,
1960,3,31,30,COME INTO MY HEART,Lloyd Price,ABC-Paramount,12,20,
