YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1962,1,1,1,THE LION SLEEPS TONIGHT,The Tokens,RCA Victor,8,1,3 weeks at #1
1962,1,3,2,RUN TO HIM,Bobby Vee,Liberty,8,2,
1962,1,4,6,PEPPERMINT TWIST (Part 1),Joey Dee and the Starliters,Roulette,7,4,
1962,1,6,8,"HAPPY BIRTHDAY, SWEET SIXTEEN",Neil Sedaka,RCA Victor,8,6,
1962,1,7,4,GOODBYE CRUEL WORLD,James Darren,Colpix,12,3,
1962,1,8,5,WALK ON BY,Leroy Van Dyke,Mercury,10,5,
1962,1,9,13,WHEN I FALL IN LOVE,The Lettermen,Capitol,7,9,
1962,1,11,15,WHEN THE BOY IN YOUR ARMS (Is the Boy In Your Heart),Connie Francis,MGM,7,11,
1962,1,14,17,‘TIL,The Angels,Caprice,11,14,
1962,1,15,26,I KNOW (You Don’t Love Me No More),Barbara George,A.F.O.,8,15,
1962,1,16,12,I DON’T KNOW WHY,Linda Scott,Canadian American,10,12,
1962,1,17,9,LET THERE BE DRUMS,Sandy Nelson,Imperial,10,7,
1962,1,18,22,REVENGE,Brook Benton,Mercury,7,18,
1962,1,19,11,MOON RIVER,Henry Mancini and His Orchestra,RCA Victor,13,11,
1962,1,21,27,JINGLE BELL ROCK,Bobby Rydell and Chubby Checker,Cameo,4,21,
1962,1,22,34,THE LITTLE DRUMMER BOY,The Harry Simeone Chorale,20th Fox,24,13,
1962,1,23,25,ROCK-A-HULA BABY (“Twist” Special),Elvis Presley,RCA Victor,5,23,
1962,1,26,43,BABY’S FIRST CHRISTMAS,Connie Francis,MGM,4,26,
1962,1,28,52,A LITTLE BITTY TEAR,Burl Ives,Decca,3,28,
1962,1,29,39,IF YOU GOTTA MAKE A FOOL OF SOMEBODY,James Ray,Caprice,7,29,
1962,1,30,41,THE WANDERER,Dion,Laurie,5,30,
1962,1,31,31,FUNNY HOW TIME SLIPS AWAY,Jimmy Elledge,RCA Victor,8,31,
1962,1,32,37,COTTON FIELDS,The Highwaymen,United Artists,6,32,
1962,1,35,24,YOUR MA SAID YOU CRIED IN YOUR SLEEP LAST NIGHT,Kenny Dino,Musicor,9,24,
1962,1,36,18,TONIGHT,Ferrante and Teicher,United Artists,12,8,
1962,1,37,40,JOHNNY WILL,Pat Boone,Dot,8,37,
1962,1,39,47,THE CHIPMUNK SONG (Christmas Don’t Be Late),The Chipmunks with the Music Of David Seville,Liberty,24,1,
1962,1,40,19,BIG BAD JOHN,Jimmy Dean,Columbia,14,1,
1962,1,44,33,SMALL SAD SAM,Phil McLean,Versatile,5,33,
1962,1,65,29,LET’S TWIST AGAIN,Chubby Checker,Parkway,19,8,
1962,1,72,38,I UNDERSTAND (Just How You Feel),The G-Clefs,Terrace,16,9,
1962,1,41,49,JINGLE BELL ROCK,Bobby Helms,Decca,17,6,
1962,1,45,48,LITTLE ALTER BOY,Vic Dana,Dolton,6,45,
1962,1,46,60,NORMAN,Sue Thompson,Hickory,5,46,
1962,1,47,51,RUDOLPH THE RED NOSED REINDEER,David Seville and the Chipmunks,Liberty,5,21,
1962,1,48,50,DEAR LADY TWIST,Gary (U.S.) Bonds,Legrand,4,48,
1962,1,50,58,ROCKIN’ AROUND THE CHRISTMAS TREE,Brenda Lee,Decca,8,14,
1962,2,1,2,THE TWIST,Chubby Checker,Parkway,27,1,2 weeks at #1
1962,2,2,1,THE LION SLEEPS TONIGHT,The Tokens,RCA Victor,9,1,
1962,2,3,4,PEPPERMINT TWIST (Part 1),Joey Dee and the Starliters,Roulette,8,3,
1962,2,4,5,CAN’T HELP FALLING IN LOVE,Elvis Presley,RCA Victor,6,4,
1962,2,5,15,I KNOW (You Don’t Love Me No More),Barbara George,A.F.O.,9,5,
1962,2,6,6,"HAPPY BIRTHDAY, SWEET SIXTEEN",Neil Sedaka,RCA Victor,9,6,
1962,2,7,8,WALK ON BY,Leroy Van Dyke,Mercury,11,5,
1962,2,8,3,RUN TO HIM,Bobby Vee,Liberty,9,2,
1962,2,9,10,UNCHAIN MY HEART,Ray Charles,ABC-Paramount,7,9,
1962,2,10,11,WHEN THE BOY IN YOUR ARMS (Is the Boy In Your Heart),Connie Francis,MGM,8,10,
1962,2,11,7,GOODBYE CRUEL WORLD,James Darren,Colpix,13,3,
1962,2,12,9,WHEN I FALL IN LOVE,The Lettermen,Capitol,8,9,
1962,2,13,13,PLEASE MR. POSTMAN,The Marvelettes,Tamla,19,1,
1962,2,14,17,LET THERE BE DRUMS,Sandy Nelson,Imperial,11,7,
1962,2,15,18,REVENGE,Brook Benton,Mercury,8,15,
1962,2,16,34,BABY IT’S YOU,The Shirelles,Scepter,4,16,
1962,2,17,46,NORMAN,Sue Thompson,Hickory,6,17,
1962,2,18,28,A LITTLE BITTY TEAR,Burl Ives,Decca,4,18,
1962,2,19,32,COTTON FIELDS,The Highwaymen,United Artists,7,19,
1962,2,20,30,THE WANDERER,Dion,Laurie,6,20,
1962,2,21,24,TOWN WITHOUT PITY,Gene Pitney,Musicor,11,21,
1962,2,22,14,‘TIL,The Angels,Caprice,12,14,
1962,2,23,21,JINGLE BELL ROCK,Bobby Rydell and Chubby Checker,Cameo,5,21,
