YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1974,1,3,3,LEAVE ME ALONE (Ruby Red Dress),Helen Reddy,Capitol,10,3,
1974,1,4,2,THE MOST BEAUTIFUL GIRL,Charlie Rich,Epic,15,1,
1974,1,5,8,SHOW AND TELL,Al Wilson,Rocky Road,12,5,
1974,1,6,9,SMOKIN’ IN THE BOY’S ROOM,Brownsville Station,Big Tree,11,6,
1974,1,10,14,I’VE GOT TO USE MY IMAGINATION,Gladys Knight and the Pips,Buddah,7,10,
1974,1,11,7,TOP OF THE WORLD,The Carpenters,A&M,14,1,
1974,1,13,17,LET ME BE THERE,Olivia Newton-John,MCA,8,13,
1974,1,14,6,HELLO IT’S ME,Todd Rundgren,Bearsville,14,5,
1974,1,15,23,THE WAY WE WERE,Barbra Streisand,Columbia,7,15,
1974,1,16,27,YOU’RE SIXTEEN,Ringo Starr,Apple,4,16,
1974,1,17,21,LOVE’S THEME,The Love Unlimited Orchestra,20th Century,6,17,
1974,1,19,25,ARE YOU LONESOME TONIGHT / WHEN I FALL IN LOVE,Donny Osmond,MGM,7,19,
1974,1,20,24,ME AND BABY BROTHER,War,United Artists,9,20,
1974,1,22,15,ROCKIN’ ROLL BABY,The Stylistics,Avco,12,14,
1974,1,23,13,JUST YOU ‘N’ ME,Chicago,Columbia,15,4,
1974,1,28,26,MY MUSIC,Loggins and Messina,Columbia,10,16,
1974,1,29,35,SISTER MARY ELEPHANT (Shudd-Up),Cheech and Chong,Ode,7,29,
1974,1,30,38,SPIDERS & SNAKES,Jim Stafford,MGM,9,30,
1974,1,31,36,WALK LIKE A MAN,Grand Funk,Capitol,7,31,
1974,1,32,28,PHOTOGRAPH,Ringo Starr,Apple,14,1,
1974,1,33,32,WHO’S IN THE STRAWBERRY PATCH WITH SALLY,Tony Orlando and Dawn,Bell,9,27,
1974,1,35,29,SPACE RACE,Billy Preston,A&M,16,4,
1974,1,36,37,PAINTED LADIES,Ian Thomas,Janus,11,36,
1974,1,37,54,JUNGLE BOOGIE,Kool and the Gang,De-Lite,5,37,
1974,1,38,34,I GOT A NAME,Jim Croce,ABC,14,10,
1974,1,40,50,IF WE MAKE IT THROUGH DECEMBER,Merle Haggard,Capitol,7,40,
1974,1,43,31,MIDNIGHT TRAIN TO GEORGIA,Gladys Knight and the Pips,Buddah,19,1,
1974,1,41,42,I CAN’T STAND THE RAIN,Ann Peebles,Hi,19,38,
