YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1967,1,2,2,SNOOPY VS. THE RED BARON,The Royal Guardsmen,Laurie,4,2,
1967,1,3,7,TELL IT LIKE IT IS,Aaron Neville,Par-Lo,6,3,
1967,1,4,3,WINCHESTER CATHEDRAL,The New Vaudeville Band,Fontana,11,1,
1967,1,5,5,SUGAR TOWN,Nancy Sinatra,Reprise,8,5,
1967,1,6,4,THAT’S LIFE,Frank Sinatra,Reprise,8,4,
1967,1,11,17,COMING HOME SOLDIER,Bobby Vinton,Epic,8,11,
1967,1,12,12,SINGLE GIRL,Sandy Posey,MGM,8,12,
1967,1,14,11,DEVIL WITH A BLUE DRESS ON AND GOOD GOLLY MISS MOLLY (Medley),Mitch Ryder and the Detroit Wheels,New Voice,13,4,
1967,1,16,16,TALK TALK,The Music Machine,Original Sound,9,16,
1967,1,18,18,CRY,Ronnie Dove,Diamond,7,18,
1967,1,20,37,GEORGY GIRL,The Seekers,Capitol,6,20,
1967,1,22,20,BORN FREE,Roger Williams,Kapp,20,7,
1967,1,23,28,I’VE PASSED THIS WAY BEFORE,Jimmy Ruffin,Soul,6,23,
1967,1,24,33,NASHVILLE CATS,The Lovin’ Spoonful,Kama Sutra,4,24,
1967,1,25,22,I NEED SOMEBODY,? (Question Mark) and the Mysterians,Cameo,8,22,
1967,1,27,27,EAST WEST,Herman’s Hermits,MGM,6,27,
1967,1,28,38,COLOR MY WORLD,Petula Clark,Warner Brothers,3,28,
1967,1,31,41,(We Ain’t Got) NOTHIN’ YET,The Blues Magoos,Mercury,5,31,
1967,1,32,32,(I’m Not Your) STEPPIN’ STONE,The Monkees,Colgems,4,32,
1967,1,33,43,GALLANT MEN,Senator Everett McKinley Dirksen,Capitol,3,33,
1967,1,35,25,LADY GODIVA,Peter and Gordon,Capitol,14,6,
1967,1,36,42,THERE’S GOT TO BE A WORD,The Innocence,Kama Sutra,6,36,
1967,1,37,47,98.6,Keith,Mercury,5,37,
1967,1,39,51,WHERE WILL THE WORDS COME FROM,Gary Lewis and the Playboys,Liberty,4,39,
1967,1,40,24,MAME,Herb Alpert and the Tijuana Brass,A&M,8,19,
1967,1,44,35,PANDORA’S GOLDEN HEEBIE JEEBIES,The Association,Valiant,7,35,
1967,1,41,71,KNIGHT IN RUSTY ARMOUR,Peter and Gordon,Capitol,3,41,
1967,1,42,44,BLUE AUTUMN,Bobby Goldsboro,United Artists,5,42,
1967,1,43,58,STAND BY ME,Spyder Turner,MGM,4,43,
1967,1,46,48,I (Who Have Nothing),Terry Knight and the Pack,Lucky Eleven,9,46,
1967,1,47,54,I HAD TOO MUCH TO DREAM (Last Night),The Electric Prunes,Reprise,5,47,
1967,1,48,64,LOOK WHAT YOU’VE DONE,The Pozo-Seco Singers,Columbia,4,48,
1967,1,50,61,HOW DO YOU CATCH A GIRL,Sam the Sham and the Pharaohs,MGM,3,50,
1967,2,1,1,I’M A BELIEVER,The Monkees,Colgems,6,1,3 weeks at #1
1967,2,2,2,SNOOPY VS. THE RED BARON,The Royal Guardsmen,Laurie,5,2,
1967,2,3,3,TELL IT LIKE IT IS,Aaron Neville,Par-Lo,7,3,
1967,2,4,7,GOOD THING,Paul Revere and the Raiders Featuring Mark Lindsay,Columbia,7,4,
1967,2,5,5,SUGAR TOWN,Nancy Sinatra,Reprise,9,5,
1967,2,6,8,WORDS OF LOVE,The Mamas and the Papas,Dunhill,7,6,
1967,2,7,9,STANDING IN THE SHADOWS OF LOVE,The Four Tops,Motown,5,7,
1967,2,8,4,WINCHESTER CATHEDRAL,The New Vaudeville Band,Fontana,12,1,
1967,2,9,6,THAT’S LIFE,Frank Sinatra,Reprise,9,4,
1967,2,10,20,GEORGY GIRL,The Seekers,Capitol,7,10,
1967,2,11,11,COMING HOME SOLDIER,Bobby Vinton,Epic,9,11,
1967,2,12,15,TELL IT TO THE RAIN,The Four Seasons,Philips,6,12,
1967,2,13,10,MELLOW YELLOW,Donovan,Epic,10,2,
1967,2,14,12,SINGLE GIRL,Sandy Posey,MGM,9,12,
1967,2,15,16,TALK TALK,The Music Machine,Original Sound,10,15,
1967,2,16,24,NASHVILLE CATS,The Lovin’ Spoonful,Kama Sutra,5,16,
1967,2,17,14,DEVIL WITH A BLUE DRESS ON AND GOOD GOLLY MISS MOLLY (Medley),Mitch Ryder and the Detroit Wheels,New Voice,14,4,
1967,2,18,23,I’VE PASSED THIS WAY BEFORE,Jimmy Ruffin,Soul,7,18,
1967,2,19,13,(I Know) I’M LOSING YOU,The Temptations,Gordy,9,8,
1967,2,20,32,(I’m Not Your) STEPPIN’ STONE,The Monkees,Colgems,5,20,
1967,2,21,17,GOOD VIBRATIONS,The Beach Boys,Capitol,13,1,
1967,2,22,18,CRY,Ronnie Dove,Diamond,8,18,
1967,2,23,28,COLOR MY WORLD,Petula Clark,Warner Brothers,4,23,
1967,2,24,31,(We Ain’t Got) NOTHIN’ YET,The Blues Magoos,Mercury,6,24,
1967,2,25,37,98.6,Keith,Mercury,6,25,
1967,2,26,43,STAND BY ME,Spyder Turner,MGM,5,26,
1967,2,27,27,EAST WEST,Herman’s Hermits,MGM,7,27,
1967,2,28,39,WHERE WILL THE WORDS COME FROM,Gary Lewis and the Playboys,Liberty,5,28,
1967,2,29,34,TRY A LITTLE TENDERNESS,Otis Redding,Volt,7,29,
1967,2,30,33,GALLANT MEN,Senator Everett McKinley Dirksen,Capitol,4,30,
1967,2,31,41,KNIGHT IN RUSTY ARMOUR,Peter and Gordon,Capitol,4,31,
1967,2,32,26,MUSTANG SALLY,Wilson Pickett,Atlantic,8,23,
1967,2,33,19,A PLACE IN THE SUN,Stevie Wonder,Tamla,10,9,
1967,2,34,36,THERE’S GOT TO BE A WORD,The Innocence,Kama Sutra,7,34,
1967,2,35,29,HELP ME GIRL,Eric Burdon and the Animals,MGM,8,29,
1967,2,36,25,I NEED SOMEBODY,? (Question Mark) and the Mysterians,Cameo,9,22,
1967,2,37,42,BLUE AUTUMN,Bobby Goldsboro,United Artists,6,37,
1967,2,38,30,HAPPENINGS TEN YEARS TIME AGO,The Yardbirds,Epic,8,30,
1967,2,39,22,BORN FREE,Roger Williams,Kapp,21,7,
1967,2,40,48,LOOK WHAT YOU’VE DONE,The Pozo-Seco Singers,Columbia,5,40,
1967,2,50,21,YOU KEEP ME HANGIN’ ON,The Supremes,Motown,12,1,
1967,2,41,51,"GREEN, GREEN GRASS OF HOME",Tom Jones,Parrot,4,41,
1967,2,42,66,KIND OF A DRAG,The Buckinghams,U.S.A.,3,42,
1967,2,43,50,HOW DO YOU CATCH A GIRL,Sam the Sham and the Pharaohs,MGM,4,43,
1967,2,44,47,I HAD TOO MUCH TO DREAM (Last Night),The Electric Prunes,Reprise,6,44,
1967,2,45,45,I FOOLED YOU THIS TIME,Gene Chandler,Checker,8,45,
1967,2,46,53,WACK WACK,The Young Holt Trio,Brunswick,5,46,
1967,2,47,58,MUSIC TO WATCH GIRLS BY,The Bob Crewe Generation,DynoVoice,3,47,
1967,2,48,49,PAPA WAS TOO,Joe Tex,Dial,5,48,
1967,2,49,59,ANOTHER NIGHT,Dionne Warwick,Scepter,4,49,
1967,3,1,1,I’M A BELIEVER,The Monkees,Colgems,7,1,4 weeks at #1
1967,3,2,2,SNOOPY VS. THE RED BARON,The Royal Guardsmen,Laurie,6,2,
1967,3,3,3,TELL IT LIKE IT IS,Aaron Neville,Par-Lo,8,3,
1967,3,4,4,GOOD THING,Paul Revere and the Raiders Featuring Mark Lindsay,Columbia,8,4,
1967,3,5,6,WORDS OF LOVE,The Mamas and the Papas,Dunhill,8,5,
1967,3,6,7,STANDING IN THE SHADOWS OF LOVE,The Four Tops,Motown,6,6,
1967,3,7,10,GEORGY GIRL,The Seekers,Capitol,8,7,
1967,3,8,5,SUGAR TOWN,Nancy Sinatra,Reprise,10,5,
1967,3,9,16,NASHVILLE CATS,The Lovin’ Spoonful,Kama Sutra,6,9,
1967,3,10,12,TELL IT TO THE RAIN,The Four Seasons,Philips,7,10,
1967,3,11,11,COMING HOME SOLDIER,Bobby Vinton,Epic,10,11,
1967,3,12,8,WINCHESTER CATHEDRAL,The New Vaudeville Band,Fontana,13,1,
1967,3,13,24,(We Ain’t Got) NOTHIN’ YET,The Blues Magoos,Mercury,7,13,
1967,3,14,25,98.6,Keith,Mercury,7,14,
1967,3,15,42,KIND OF A DRAG,The Buckinghams,U.S.A.,4,15,
1967,3,16,23,COLOR MY WORLD,Petula Clark,Warner Brothers,5,16,
1967,3,17,15,TALK TALK,The Music Machine,Original Sound,11,15,
1967,3,18,18,I’VE PASSED THIS WAY BEFORE,Jimmy Ruffin,Soul,8,18,
1967,3,19,9,THAT’S LIFE,Frank Sinatra,Reprise,10,4,
1967,3,20,31,KNIGHT IN RUSTY ARMOUR,Peter and Gordon,Capitol,5,20,
1967,3,21,26,STAND BY ME,Spyder Turner,MGM,6,21,
1967,3,22,17,DEVIL WITH A BLUE DRESS ON AND GOOD GOLLY MISS MOLLY (Medley),Mitch Ryder and the Detroit Wheels,New Voice,15,4,
1967,3,23,14,SINGLE GIRL,Sandy Posey,MGM,10,12,
1967,3,24,44,I HAD TOO MUCH TO DREAM (Last Night),The Electric Prunes,Reprise,7,24,
1967,3,25,28,WHERE WILL THE WORDS COME FROM,Gary Lewis and the Playboys,Liberty,6,25,
1967,3,26,29,TRY A LITTLE TENDERNESS,Otis Redding,Volt,8,26,
1967,3,27,13,MELLOW YELLOW,Donovan,Epic,11,2,
1967,3,28,20,(I’m Not Your) STEPPIN’ STONE,The Monkees,Colgems,6,20,
1967,3,29,30,GALLANT MEN,Senator Everett McKinley Dirksen,Capitol,5,29,
1967,3,30,52,WILD THING,Senator Bobby,Parkway,3,30,
1967,3,31,41,"GREEN, GREEN GRASS OF HOME",Tom Jones,Parrot,5,31,
1967,3,32,47,MUSIC TO WATCH GIRLS BY,The Bob Crewe Generation,DynoVoice,4,32,
1967,3,33,43,HOW DO YOU CATCH A GIRL,Sam the Sham and the Pharaohs,MGM,5,33,
1967,3,34,27,EAST WEST,Herman’s Hermits,MGM,8,27,
1967,3,35,35,HELP ME GIRL,Eric Burdon and the Animals,MGM,9,29,
1967,3,36,40,LOOK WHAT YOU’VE DONE,The Pozo-Seco Singers,Columbia,6,36,
1967,3,37,37,BLUE AUTUMN,Bobby Goldsboro,United Artists,7,37,
1967,3,38,19,(I Know) I’M LOSING YOU,The Temptations,Gordy,10,8,
1967,3,39,34,THERE’S GOT TO BE A WORD,The Innocence,Kama Sutra,8,34,
1967,3,40,46,WACK WACK,The Young Holt Trio,Brunswick,6,40,
1967,3,41,36,I NEED SOMEBODY,? (Question Mark) and the Mysterians,Cameo,10,22,
1967,3,44,38,HAPPENINGS TEN YEARS TIME AGO,The Yardbirds,Epic,9,30,
1967,3,45,33,A PLACE IN THE SUN,Stevie Wonder,Tamla,11,9,
1967,3,47,32,MUSTANG SALLY,Wilson Pickett,Atlantic,9,23,
1967,3,50,21,GOOD VIBRATIONS,The Beach Boys,Capitol,14,1,
1967,3,64,22,CRY,Ronnie Dove,Diamond,9,18,
1967,3,42,53,IT’S NOW WINTERS DAY,Tommy Roe,ABC,5,42,
1967,3,43,58,HELLO HELLO,The Sopwith “Camel”,Kama Sutra,5,43,
1967,3,46,48,PAPA WAS TOO,Joe Tex,Dial,6,46,
1967,3,48,59,BRING IT UP,James Brown and the Famous Flames,King,3,48,
1967,3,49,49,ANOTHER NIGHT,Dionne Warwick,Scepter,5,49,
1967,4,1,1,I’M A BELIEVER,The Monkees,Colgems,8,1,5 weeks at #1
1967,4,2,3,TELL IT LIKE IT IS,Aaron Neville,Par-Lo,9,2,
1967,4,3,2,SNOOPY VS. THE RED BARON,The Royal Guardsmen,Laurie,7,2,
1967,4,4,7,GEORGY GIRL,The Seekers,Capitol,9,4,
1967,4,5,5,WORDS OF LOVE,The Mamas and the Papas,Dunhill,9,5,
1967,4,6,6,STANDING IN THE SHADOWS OF LOVE,The Four Tops,Motown,7,6,
1967,4,7,4,GOOD THING,Paul Revere and the Raiders Featuring Mark Lindsay,Columbia,9,4,
1967,4,8,9,NASHVILLE CATS,The Lovin’ Spoonful,Kama Sutra,7,8,
1967,4,9,15,KIND OF A DRAG,The Buckinghams,U.S.A.,5,9,
1967,4,10,13,(We Ain’t Got) NOTHIN’ YET,The Blues Magoos,Mercury,8,10,
1967,4,11,14,98.6,Keith,Mercury,8,11,
1967,4,12,8,SUGAR TOWN,Nancy Sinatra,Reprise,11,5,
1967,4,13,10,TELL IT TO THE RAIN,The Four Seasons,Philips,8,10,
1967,4,14,21,STAND BY ME,Spyder Turner,MGM,7,14,
1967,4,15,20,KNIGHT IN RUSTY ARMOUR,Peter and Gordon,Capitol,6,15,
1967,4,16,16,COLOR MY WORLD,Petula Clark,Warner Brothers,6,16,
1967,4,17,18,I’VE PASSED THIS WAY BEFORE,Jimmy Ruffin,Soul,9,17,
1967,4,18,11,COMING HOME SOLDIER,Bobby Vinton,Epic,11,11,
1967,4,19,31,"GREEN, GREEN GRASS OF HOME",Tom Jones,Parrot,6,19,
1967,4,20,24,I HAD TOO MUCH TO DREAM (Last Night),The Electric Prunes,Reprise,8,20,
1967,4,21,25,WHERE WILL THE WORDS COME FROM,Gary Lewis and the Playboys,Liberty,7,21,
1967,4,22,12,WINCHESTER CATHEDRAL,The New Vaudeville Band,Fontana,14,1,
1967,4,23,30,WILD THING,Senator Bobby,Parkway,4,23,
1967,4,24,32,MUSIC TO WATCH GIRLS BY,The Bob Crewe Generation,DynoVoice,5,24,
1967,4,25,26,TRY A LITTLE TENDERNESS,Otis Redding,Volt,9,25,
1967,4,26,23,SINGLE GIRL,Sandy Posey,MGM,11,12,
1967,4,27,33,HOW DO YOU CATCH A GIRL,Sam the Sham and the Pharaohs,MGM,6,27,
1967,4,28,28,(I’m Not Your) STEPPIN’ STONE,The Monkees,Colgems,7,20,
1967,4,29,42,IT’S NOW WINTERS DAY,Tommy Roe,ABC,6,29,
1967,4,30,17,TALK TALK,The Music Machine,Original Sound,12,15,
1967,4,31,43,HELLO HELLO,The Sopwith “Camel”,Kama Sutra,6,31,
1967,4,32,19,THAT’S LIFE,Frank Sinatra,Reprise,11,4,
1967,4,33,36,LOOK WHAT YOU’VE DONE,The Pozo-Seco Singers,Columbia,7,33,
1967,4,34,58,THE BEAT GOES ON,Sonny and Cher,Atco,3,34,
1967,4,35,37,BLUE AUTUMN,Bobby Goldsboro,United Artists,8,35,
1967,4,36,69,THEN YOU CAN TELL ME GOODBYE,The Casinos,Fraternity,3,36,
1967,4,37,48,BRING IT UP,James Brown and the Famous Flames,King,4,37,
1967,4,38,57,"MERCY, MERCY, MERCY",“Cannonball” Adderley,Capitol,4,38,
1967,4,39,52,GIMME SOME LOVIN’,The Spencer Davis Group,United Artists,5,39,
1967,4,40,40,WACK WACK,The Young Holt Trio,Brunswick,7,40,
1967,4,41,29,GALLANT MEN,Senator Everett McKinley Dirksen,Capitol,6,29,
1967,4,42,27,MELLOW YELLOW,Donovan,Epic,12,2,
1967,4,43,78,RUBY TUESDAY,The Rolling Stones,London,2,43,
1967,4,44,46,PAPA WAS TOO,Joe Tex,Dial,7,44,
1967,4,45,53,"HEY, LEROY, YOUR MAMA’S CALLIN’ YOU",Jimmy Castor,Smash,5,45,
1967,4,46,61,IT TAKES TWO,Marvin Gaye and Kim Weston,Tamla,4,46,
1967,4,48,72,IT MAY BE WINTER OUTSIDE (But In My Heart It’s Spring),Felice Taylor,Mustang,3,48,
1967,4,49,49,ANOTHER NIGHT,Dionne Warwick,Scepter,6,49,
1967,4,50,62,PRETTY BALLERINA,The Left Banke,Smash,4,50,
1967,5,1,1,I’M A BELIEVER,The Monkees,Colgems,9,1,6 weeks at #1
1967,5,2,4,GEORGY GIRL,The Seekers,Capitol,10,2,
1967,5,3,3,SNOOPY VS. THE RED BARON,The Royal Guardsmen,Laurie,8,2,
1967,5,4,2,TELL IT LIKE IT IS,Aaron Neville,Par-Lo,10,2,
1967,5,5,9,KIND OF A DRAG,The Buckinghams,U.S.A.,6,5,
1967,5,6,5,WORDS OF LOVE,The Mamas and the Papas,Dunhill,10,5,
1967,5,7,10,(We Ain’t Got) NOTHIN’ YET,The Blues Magoos,Mercury,9,7,
1967,5,8,11,98.6,Keith,Mercury,9,8,
1967,5,9,7,GOOD THING,Paul Revere and the Raiders Featuring Mark Lindsay,Columbia,10,4,
1967,5,10,6,STANDING IN THE SHADOWS OF LOVE,The Four Tops,Motown,8,6,
1967,5,11,43,RUBY TUESDAY,The Rolling Stones,London,3,11,
1967,5,12,8,NASHVILLE CATS,The Lovin’ Spoonful,Kama Sutra,8,8,
1967,5,13,19,"GREEN, GREEN GRASS OF HOME",Tom Jones,Parrot,7,13,
1967,5,14,14,STAND BY ME,Spyder Turner,MGM,8,14,
1967,5,15,15,KNIGHT IN RUSTY ARMOUR,Peter and Gordon,Capitol,7,15,
1967,5,16,34,THE BEAT GOES ON,Sonny and Cher,Atco,4,16,
1967,5,17,24,MUSIC TO WATCH GIRLS BY,The Bob Crewe Generation,DynoVoice,6,17,
1967,5,18,20,I HAD TOO MUCH TO DREAM (Last Night),The Electric Prunes,Reprise,9,18,
1967,5,19,16,COLOR MY WORLD,Petula Clark,Warner Brothers,7,16,
1967,5,20,23,WILD THING,Senator Bobby,Parkway,5,20,
1967,5,21,13,TELL IT TO THE RAIN,The Four Seasons,Philips,9,10,
1967,5,22,12,SUGAR TOWN,Nancy Sinatra,Reprise,12,5,
1967,5,23,36,THEN YOU CAN TELL ME GOODBYE,The Casinos,Fraternity,4,23,
1967,5,24,29,IT’S NOW WINTERS DAY,Tommy Roe,ABC,7,24,
1967,5,25,21,WHERE WILL THE WORDS COME FROM,Gary Lewis and the Playboys,Liberty,8,21,
1967,5,26,39,GIMME SOME LOVIN’,The Spencer Davis Group,United Artists,6,26,
1967,5,27,47,LOVE IS HERE AND NOW YOU’RE GONE,The Supremes,Motown,2,27,
1967,5,28,17,I’VE PASSED THIS WAY BEFORE,Jimmy Ruffin,Soul,10,17,
1967,5,29,38,"MERCY, MERCY, MERCY",“Cannonball” Adderley,Capitol,5,29,
1967,5,30,37,BRING IT UP,James Brown and the Famous Flames,King,5,30,
1967,5,31,31,HELLO HELLO,The Sopwith “Camel”,Kama Sutra,7,31,
1967,5,32,33,LOOK WHAT YOU’VE DONE,The Pozo-Seco Singers,Columbia,8,32,
1967,5,33,27,HOW DO YOU CATCH A GIRL,Sam the Sham and the Pharaohs,MGM,7,27,
1967,5,34,50,PRETTY BALLERINA,The Left Banke,Smash,5,34,
1967,5,35,46,IT TAKES TWO,Marvin Gaye and Kim Weston,Tamla,5,35,
1967,5,36,52,GO WHERE YOU WANNA GO,The 5th Dimension,Soul City,4,36,
1967,5,37,18,COMING HOME SOLDIER,Bobby Vinton,Epic,12,11,
1967,5,38,45,"HEY, LEROY, YOUR MAMA’S CALLIN’ YOU",Jimmy Castor,Smash,6,38,
1967,5,39,25,TRY A LITTLE TENDERNESS,Otis Redding,Volt,10,25,
1967,5,40,28,(I’m Not Your) STEPPIN’ STONE,The Monkees,Colgems,8,20,
1967,5,44,22,WINCHESTER CATHEDRAL,The New Vaudeville Band,Fontana,15,1,
1967,5,47,26,SINGLE GIRL,Sandy Posey,MGM,12,12,
1967,5,52,40,WACK WACK,The Young Holt Trio,Brunswick,8,40,
1967,5,57,35,BLUE AUTUMN,Bobby Goldsboro,United Artists,9,35,
1967,5,41,51,PUSHIN’ TOO HARD,The Seeds,GNP Crescendo,7,41,
1967,5,42,48,IT MAY BE WINTER OUTSIDE (But In My Heart It’s Spring),Felice Taylor,Mustang,4,42,
1967,5,43,54,"RIDE, RIDE, RIDE",Brenda Lee,Decca,4,43,
1967,5,45,56,I’VE GOT TO HAVE A REASON,The Dave Clark Five,Epic,5,45,
1967,5,46,57,ARE YOU LONELY FOR ME,Freddie Scott,Shout,7,46,
1967,5,48,60,LOVIN’ YOU,Bobby Darin,Atlantic,4,48,
1967,5,49,59,ALL,James Darren,Warner Brothers,4,49,
1967,5,50,61,MY CUP RUNNETH OVER,Ed Ames,RCA Victor,3,50,
1967,6,1,1,I’M A BELIEVER,The Monkees,Colgems,10,1,7 weeks at #1
1967,6,2,2,GEORGY GIRL,The Seekers,Capitol,11,2,
1967,6,3,5,KIND OF A DRAG,The Buckinghams,U.S.A.,7,3,
1967,6,4,11,RUBY TUESDAY,The Rolling Stones,London,4,4,
1967,6,5,7,(We Ain’t Got) NOTHIN’ YET,The Blues Magoos,Mercury,10,5,
1967,6,6,4,TELL IT LIKE IT IS,Aaron Neville,Par-Lo,11,2,
1967,6,7,8,98.6,Keith,Mercury,10,7,
1967,6,8,3,SNOOPY VS. THE RED BARON,The Royal Guardsmen,Laurie,9,2,
1967,6,9,27,LOVE IS HERE AND NOW YOU’RE GONE,The Supremes,Motown,3,9,
1967,6,10,16,THE BEAT GOES ON,Sonny and Cher,Atco,5,10,
1967,6,11,18,I HAD TOO MUCH TO DREAM (Last Night),The Electric Prunes,Reprise,10,11,
1967,6,12,14,STAND BY ME,Spyder Turner,MGM,9,12,
1967,6,13,13,"GREEN, GREEN GRASS OF HOME",Tom Jones,Parrot,8,13,
1967,6,14,6,WORDS OF LOVE,The Mamas and the Papas,Dunhill,11,5,
1967,6,15,17,MUSIC TO WATCH GIRLS BY,The Bob Crewe Generation,DynoVoice,7,15,
1967,6,16,23,THEN YOU CAN TELL ME GOODBYE,The Casinos,Fraternity,5,16,
1967,6,17,26,GIMME SOME LOVIN’,The Spencer Davis Group,United Artists,7,17,
1967,6,18,10,STANDING IN THE SHADOWS OF LOVE,The Four Tops,Motown,9,6,
1967,6,19,9,GOOD THING,Paul Revere and the Raiders Featuring Mark Lindsay,Columbia,11,4,
1967,6,20,20,WILD THING,Senator Bobby,Parkway,6,20,
1967,6,21,29,"MERCY, MERCY, MERCY",“Cannonball” Adderley,Capitol,6,21,
1967,6,22,12,NASHVILLE CATS,The Lovin’ Spoonful,Kama Sutra,9,8,
1967,6,23,15,KNIGHT IN RUSTY ARMOUR,Peter and Gordon,Capitol,8,15,
1967,6,24,24,IT’S NOW WINTERS DAY,Tommy Roe,ABC,8,24,
1967,6,25,34,PRETTY BALLERINA,The Left Banke,Smash,6,25,
1967,6,26,31,HELLO HELLO,The Sopwith “Camel”,Kama Sutra,8,26,
1967,6,27,36,GO WHERE YOU WANNA GO,The 5th Dimension,Soul City,5,27,
1967,6,28,19,COLOR MY WORLD,Petula Clark,Warner Brothers,8,16,
1967,6,29,35,IT TAKES TWO,Marvin Gaye and Kim Weston,Tamla,6,29,
1967,6,30,30,BRING IT UP,James Brown and the Famous Flames,King,6,30,
1967,6,31,21,TELL IT TO THE RAIN,The Four Seasons,Philips,10,10,
1967,6,32,54,YOU GOT TO ME,Neil Diamond,Bang,3,32,
1967,6,33,28,I’VE PASSED THIS WAY BEFORE,Jimmy Ruffin,Soul,11,17,
1967,6,34,25,WHERE WILL THE WORDS COME FROM,Gary Lewis and the Playboys,Liberty,9,21,
1967,6,35,48,LOVIN’ YOU,Bobby Darin,Atlantic,5,35,
1967,6,36,50,MY CUP RUNNETH OVER,Ed Ames,RCA Victor,4,36,
1967,6,37,43,"RIDE, RIDE, RIDE",Brenda Lee,Decca,5,37,
1967,6,38,38,"HEY, LEROY, YOUR MAMA’S CALLIN’ YOU",Jimmy Castor,Smash,7,38,
1967,6,39,33,HOW DO YOU CATCH A GIRL,Sam the Sham and the Pharaohs,MGM,8,27,
1967,6,40,41,PUSHIN’ TOO HARD,The Seeds,GNP Crescendo,8,40,
1967,6,41,22,SUGAR TOWN,Nancy Sinatra,Reprise,13,5,
1967,6,50,32,LOOK WHAT YOU’VE DONE,The Pozo-Seco Singers,Columbia,9,32,
1967,6,42,42,IT MAY BE WINTER OUTSIDE (But In My Heart It’s Spring),Felice Taylor,Mustang,5,42,
1967,6,43,49,ALL,James Darren,Warner Brothers,5,43,
1967,6,44,45,I’VE GOT TO HAVE A REASON,The Dave Clark Five,Epic,6,44,
1967,6,45,46,ARE YOU LONELY FOR ME,Freddie Scott,Shout,8,45,
1967,6,46,56,THE HUNTER GETS CAPTURED BY THE GAME,The Marvelettes,Tamla,4,46,
1967,6,47,58,INDESCRIBABLY BLUE,Elvis Presley,RCA Victor,3,47,
1967,6,48,51,WISH YOU DIDN’T HAVE TO GO,James and Bobby Purify,Bell,3,48,
1967,6,49,81,BABY I NEED YOUR LOVIN’,Johnny Rivers,Imperial,2,49,
1967,7,1,3,KIND OF A DRAG,The Buckinghams,U.S.A.,8,1,1 week at #1
1967,7,2,1,I’M A BELIEVER,The Monkees,Colgems,11,1,
1967,7,3,4,RUBY TUESDAY,The Rolling Stones,London,5,3,
1967,7,4,2,GEORGY GIRL,The Seekers,Capitol,12,2,
1967,7,5,5,(We Ain’t Got) NOTHIN’ YET,The Blues Magoos,Mercury,11,5,
1967,7,6,9,LOVE IS HERE AND NOW YOU’RE GONE,The Supremes,Motown,4,6,
1967,7,7,7,98.6,Keith,Mercury,11,7,
1967,7,8,6,TELL IT LIKE IT IS,Aaron Neville,Par-Lo,12,2,
1967,7,9,10,THE BEAT GOES ON,Sonny and Cher,Atco,6,9,
1967,7,10,17,GIMME SOME LOVIN’,The Spencer Davis Group,United Artists,8,10,
1967,7,11,13,"GREEN, GREEN GRASS OF HOME",Tom Jones,Parrot,9,11,
1967,7,12,12,STAND BY ME,Spyder Turner,MGM,10,12,
1967,7,13,16,THEN YOU CAN TELL ME GOODBYE,The Casinos,Fraternity,6,13,
1967,7,14,11,I HAD TOO MUCH TO DREAM (Last Night),The Electric Prunes,Reprise,11,11,
1967,7,15,8,SNOOPY VS. THE RED BARON,The Royal Guardsmen,Laurie,10,2,
1967,7,16,21,"MERCY, MERCY, MERCY",“Cannonball” Adderley,Capitol,7,16,
1967,7,17,25,PRETTY BALLERINA,The Left Banke,Smash,7,17,
1967,7,18,15,MUSIC TO WATCH GIRLS BY,The Bob Crewe Generation,DynoVoice,8,15,
1967,7,19,49,BABY I NEED YOUR LOVIN’,Johnny Rivers,Imperial,3,19,
1967,7,20,29,IT TAKES TWO,Marvin Gaye and Kim Weston,Tamla,7,20,
1967,7,21,27,GO WHERE YOU WANNA GO,The 5th Dimension,Soul City,6,21,
1967,7,22,19,GOOD THING,Paul Revere and the Raiders Featuring Mark Lindsay,Columbia,12,4,
