Original Genre,Mapped Genre
wonky,Electronic/Dance
geek rock,Rock
zulu,World/Other
powerviolence,Rock
blues revival,Jazz/Blues
kaykyoku,World/Other
dark ambient,Electronic/Dance
cowboy music,World/Other
contemporary christian,World/Other
folk rock,World/Other
fantasia,World/Other
synth-pop,Electronic/Dance
college rock,Rock
synthpunk,Electronic/Dance
avant-folk,World/Other
progressive jazz,Jazz/Blues
sophisti-pop,Pop
film score,World/Other
new orleans r&b,Jazz/Blues
schlager,Pop
anti-folk,World/Other
vocal pop,Pop
german hip-hop,Hip-Hop/Rap
childrens music,Pop
psychedelic rap,Hip-Hop/Rap
romani,World/Other
acid jazz,Jazz/Blues
marabi,World/Other
experimental,World/Other
trova,World/Other
hip hop soul,Hip-Hop/Rap
sketch comedy,World/Other
cueca,World/Other
hip house,Hip-Hop/Rap
progressive r&b,Jazz/Blues
maskanda,World/Other
soul,Jazz/Blues
boogie woogie,Jazz/Blues
reggaeton,Hip-Hop/Rap
technical thrash metal,Rock
post-metal,Rock
country blues,Jazz/Blues
chamber rock,Rock
doo wop,Jazz/Blues
broken beat,Jazz/Blues
art pop,Pop
tropical house,Electronic/Dance
pachanga,World/Other
soul-blues,Jazz/Blues
english pop,Pop
rock glam metal lounge,Rock
cantopop,World/Other
synth-punk,Electronic/Dance
dance-rock,Rock
breakbeat hardcore,Electronic/Dance
lyricist,World/Other
surf rock,Rock
electronica,Electronic/Dance
collegiate a cappella,Pop
street punk,Rock
hardcore hip hop,Hip-Hop/Rap
neotraditional country,World/Other
jazz funk,Jazz/Blues
new jack swing,Hip-Hop/Rap
mugham,World/Other
township,World/Other
psychedelic,Rock
tejanotex-mex,World/Other
jazz-pop,Jazz/Blues
musique concrte,Classical
jungle,Hip-Hop/Rap
shock rock,Rock
alternative pop,Pop
swing,Jazz/Blues
msica popular brasileira,World/Other
garage punk,Rock
blackened death metal,Rock
new,World/Other
post-grunge,Rock
saxophone,Jazz/Blues
contemporary christian music,World/Other
acid house,Electronic/Dance
ethnic electronica,Electronic/Dance
levenslied,World/Other
drill and bass,Electronic/Dance
psychedelic funk,Jazz/Blues
dub,World/Other
traditional popular music,World/Other
p-funk,Jazz/Blues
pop rap,Hip-Hop/Rap
canzone napoletana,World/Other
spoken word,World/Other
dance punk,Rock
pop punk,Rock
jazz rap,Hip-Hop/Rap
space disco,Electronic/Dance
turkish folk,World/Other
downtempo electronica,Electronic/Dance
soul jazz,Jazz/Blues
funk metal,Rock
punk rock,Rock
new wave pop,Pop
urban cowboy,World/Other
kuduro,World/Other
ragtime,Jazz/Blues
contemporary jazz,Jazz/Blues
chiptune,Electronic/Dance
classical crossover,Classical
ska,Jazz/Blues
psychedelic rock,Rock
comedy rock,Rock
modern blues,Jazz/Blues
metal,Rock
beat music,Electronic/Dance
pop soul,Jazz/Blues
alternative dance,Electronic/Dance
indie folk,World/Other
vocal jazz,Jazz/Blues
punk pop,Rock
garage rock revival,Rock
future garage,Electronic/Dance
pop rock,Pop
early music,Classical
medieval music,Classical
celtic folk,World/Other
irish folk,World/Other
irish traditional,World/Other
heavy metal,Rock
jazz blues,Jazz/Blues
indie rock,Rock
canadian folk,World/Other
