"artist_id","common_name","wiki_url","genre"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","blue-eyed soul"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","celtic"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","rock"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","r&b"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","folk"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","blues"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","jazz"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","country"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","gospel"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","christian"
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","jazz"
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","blues"
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","r&b"
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","gospel"
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","traditional pop"
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","soul"
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","r&b"
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","gospel"
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","jazz"
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","pop"
"11","Marie Fredriksson","https://en.wikipedia.org/wiki/Marie_Fredriksson","pop rock"
"14","The Beach Boys","https://en.wikipedia.org/wiki/The_Beach_Boys","rock"
"14","The Beach Boys","https://en.wikipedia.org/wiki/The_Beach_Boys","pop"
"14","The Beach Boys","https://en.wikipedia.org/wiki/The_Beach_Boys","surf"
"14","The Beach Boys","https://en.wikipedia.org/wiki/The_Beach_Boys","psychedelia"
"16","The Doors","https://en.wikipedia.org/wiki/The_Doors","psychedelic rock"
"16","The Doors","https://en.wikipedia.org/wiki/The_Doors","blues rock"
"16","The Doors","https://en.wikipedia.org/wiki/The_Doors","acid rock"
"17","Led Zeppelin","https://en.wikipedia.org/wiki/Led_Zeppelin","hard rock"
"17","Led Zeppelin","https://en.wikipedia.org/wiki/Led_Zeppelin","blues rock"
"17","Led Zeppelin","https://en.wikipedia.org/wiki/Led_Zeppelin","folk rock"
"17","Led Zeppelin","https://en.wikipedia.org/wiki/Led_Zeppelin","heavy metal"
"20","Counting Crows","https://en.wikipedia.org/wiki/Counting_Crows","alternative rock"
"20","Counting Crows","https://en.wikipedia.org/wiki/Counting_Crows","roots rock"
"20","Counting Crows","https://en.wikipedia.org/wiki/Counting_Crows","pop rock"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","country"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","pop"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","rock"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","jazz"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","classical"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","folk"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","rockabilly"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","country rock"
"26","Alphaville","https://en.wikipedia.org/wiki/Alphaville_(band)","synth-pop"
"28","Missing Persons","https://en.wikipedia.org/wiki/Missing_Persons_(band)","new wave"
"28","Missing Persons","https://en.wikipedia.org/wiki/Missing_Persons_(band)","synth-pop"
"28","Missing Persons","https://en.wikipedia.org/wiki/Missing_Persons_(band)","post-punk"
"28","Missing Persons","https://en.wikipedia.org/wiki/Missing_Persons_(band)","pop rock"
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","jazz"
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","r&b"
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","classical"
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","folk"
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","gospel"
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","blues"
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","soul"
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","blues rock"
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","r&b"
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","psychedelic rock"
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","progressive rock"
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","rock and roll"
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","blues"
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","rhythm and blues"
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","soul"
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","rock and roll"
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","shock rock"
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","pop"
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","soul"
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","disco"
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","rock"
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","soft rock"
"34","Pete Seeger","https://en.wikipedia.org/wiki/Pete_Seeger","american folk music"
"34","Pete Seeger","https://en.wikipedia.org/wiki/Pete_Seeger","protest music"
"34","Pete Seeger","https://en.wikipedia.org/wiki/Pete_Seeger","americana"
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","rock"
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","pop"
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","folk rock"
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","psychedelia"
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","raga rock"
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","country rock"
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","jangle pop"
"37","Atomic Kitten","https://en.wikipedia.org/wiki/Atomic_Kitten","pop"
"37","Atomic Kitten","https://en.wikipedia.org/wiki/Atomic_Kitten","dance-pop"
"37","Atomic Kitten","https://en.wikipedia.org/wiki/Atomic_Kitten","europop"
"37","Atomic Kitten","https://en.wikipedia.org/wiki/Atomic_Kitten","disco"
"38","Steps","https://en.wikipedia.org/wiki/Steps_(pop_group)","pop"
"38","Steps","https://en.wikipedia.org/wiki/Steps_(pop_group)","dance-pop"
"40","Barry Manilow","https://en.wikipedia.org/wiki/Barry_Manilow","soft rock"
"41","The Beatles","https://en.wikipedia.org/wiki/The_Beatles","rock"
"41","The Beatles","https://en.wikipedia.org/wiki/The_Beatles","pop"
"41","The Beatles","https://en.wikipedia.org/wiki/The_Beatles","beat"
"41","The Beatles","https://en.wikipedia.org/wiki/The_Beatles","psychedelia"
"42","Joe Cocker","https://en.wikipedia.org/wiki/Joe_Cocker","rock"
"42","Joe Cocker","https://en.wikipedia.org/wiki/Joe_Cocker","blues"
"42","Joe Cocker","https://en.wikipedia.org/wiki/Joe_Cocker","blue-eyed soul"
"42","Joe Cocker","https://en.wikipedia.org/wiki/Joe_Cocker","pop"
"45","Cher","https://en.wikipedia.org/wiki/Cher","pop"
"45","Cher","https://en.wikipedia.org/wiki/Cher","rock"
"45","Cher","https://en.wikipedia.org/wiki/Cher","folk"
"45","Cher","https://en.wikipedia.org/wiki/Cher","dance"
"48","Extreme","https://en.wikipedia.org/wiki/Extreme_(band)","hard rock"
"48","Extreme","https://en.wikipedia.org/wiki/Extreme_(band)","funk metal"
"48","Extreme","https://en.wikipedia.org/wiki/Extreme_(band)","glam metal"
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","new wave"
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","punk rock"
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","pop rock"
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","pop"
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","disco"
"52","The Smashing Pumpkins","https://en.wikipedia.org/wiki/The_Smashing_Pumpkins","alternative rock"
"53","The Cars","https://en.wikipedia.org/wiki/The_Cars","new wave"
"53","The Cars","https://en.wikipedia.org/wiki/The_Cars","pop rock"
"53","The Cars","https://en.wikipedia.org/wiki/The_Cars","power pop"
"54","The Cure","https://en.wikipedia.org/wiki/The_Cure","gothic rock"
"54","The Cure","https://en.wikipedia.org/wiki/The_Cure","post-punk"
"54","The Cure","https://en.wikipedia.org/wiki/The_Cure","alternative rock"
"54","The Cure","https://en.wikipedia.org/wiki/The_Cure","new wave"
"56","Letters to Cleo","https://en.wikipedia.org/wiki/Letters_to_Cleo","alternative rock"
"56","Letters to Cleo","https://en.wikipedia.org/wiki/Letters_to_Cleo","power pop"
"57","Cyndi Lauper","https://en.wikipedia.org/wiki/Cyndi_Lauper","pop"
"57","Cyndi Lauper","https://en.wikipedia.org/wiki/Cyndi_Lauper","dance"
"57","Cyndi Lauper","https://en.wikipedia.org/wiki/Cyndi_Lauper","new wave"
"57","Cyndi Lauper","https://en.wikipedia.org/wiki/Cyndi_Lauper","rock"
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","country"
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","novelty"
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","comedy"
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","pop"
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","rock and roll"
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","western swing"
"59","The Chipmunks","https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks","pop"
"59","The Chipmunks","https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks","children's"
"59","The Chipmunks","https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks","christmas"
"60","Patrice Rushen","https://en.wikipedia.org/wiki/Patrice_Rushen","soul"
"60","Patrice Rushen","https://en.wikipedia.org/wiki/Patrice_Rushen","r&b"
"60","Patrice Rushen","https://en.wikipedia.org/wiki/Patrice_Rushen","jazz-funk"
"60","Patrice Rushen","https://en.wikipedia.org/wiki/Patrice_Rushen","post-disco"
